trace1;I x;I y
trace1;68;139
trace1;82;167
trace1;19;41
trace1;-16;-29
trace1;23;49
trace1;38;79
trace1;76;155
trace1;-16;-29
trace1;48;99
trace1;61;125
trace1;-3;-3
trace1;41;85
trace1;-6;-9
trace1;97;197
trace1;86;175
trace1;29;61
trace1;29;61
trace1;-20;-37
trace1;57;117
trace1;22;47
trace1;1;5
trace1;78;159
trace1;15;33
trace1;-7;-11
trace1;51;105
trace1;25;53
trace1;2;7
trace1;87;177
trace1;3;9
trace1;81;165
trace1;92;187
trace1;21;45
trace1;61;125
trace1;47;97
trace1;-10;-17
trace1;71;145
trace1;30;63
trace1;51;105
trace1;93;189
trace1;-5;-7
trace1;-18;-33
trace1;16;35
trace1;60;123
trace1;29;61
trace1;-9;-15
trace1;87;177
trace1;87;177
trace1;7;17
trace1;96;195
trace1;-16;-29
trace1;73;149
trace1;-3;-3
trace1;50;103
trace1;52;107
trace1;49;101
trace1;46;95
trace1;19;41
trace1;19;41
trace1;22;47
trace1;81;165
trace1;13;29
trace1;50;103
trace1;64;131
trace1;20;43
trace1;81;165
trace1;63;129
trace1;93;189
trace1;64;131
trace1;10;23
trace1;75;153
trace1;23;49
trace1;10;23
trace1;98;199
trace1;21;45
trace1;90;183
trace1;6;15
trace1;38;79
trace1;51;105
trace1;-16;-29
trace1;78;159
trace1;50;103
trace1;59;121
trace1;91;185
trace1;24;51
trace1;75;153
trace1;70;143
trace1;67;137
trace1;-8;-13
trace1;53;109
trace1;75;153
trace1;96;195
trace1;12;27
trace1;65;133
trace1;52;107
trace1;38;79
trace1;37;77
trace1;76;155
trace1;33;69
trace1;-20;-37
trace1;55;113
