trace1;I x;I y
trace1;9;512
trace1;14;16384
trace1;17;131072
trace1;9;512
trace1;27;134217728
trace1;20;1048576
trace1;7;128
trace1;28;268435456
trace1;0;1
trace1;2;4
trace1;6;64
trace1;16;65536
trace1;21;2097152
trace1;1;2
trace1;23;8388608
trace1;30;1073741824
trace1;4;16
trace1;11;2048
trace1;28;268435456
trace1;10;1024
trace1;21;2097152
trace1;10;1024
trace1;2;4
trace1;12;4096
trace1;4;16
trace1;27;134217728
trace1;8;256
trace1;21;2097152
trace1;13;8192
trace1;16;65536
trace1;12;4096
trace1;15;32768
trace1;0;1
trace1;19;524288
trace1;23;8388608
trace1;2;4
trace1;12;4096
trace1;12;4096
trace1;5;32
trace1;21;2097152
trace1;17;131072
trace1;7;128
trace1;17;131072
trace1;26;67108864
trace1;19;524288
trace1;3;8
trace1;8;256
trace1;29;536870912
trace1;18;262144
trace1;20;1048576
trace1;27;134217728
trace1;6;64
trace1;12;4096
trace1;11;2048
trace1;22;4194304
trace1;2;4
trace1;17;131072
trace1;17;131072
trace1;7;128
trace1;30;1073741824
trace1;30;1073741824
trace1;18;262144
trace1;2;4
trace1;22;4194304
trace1;12;4096
trace1;16;65536
trace1;30;1073741824
trace1;30;1073741824
trace1;24;16777216
trace1;19;524288
trace1;26;67108864
trace1;27;134217728
trace1;17;131072
trace1;5;32
trace1;11;2048
trace1;26;67108864
trace1;26;67108864
trace1;7;128
trace1;30;1073741824
trace1;18;262144
trace1;13;8192
trace1;3;8
trace1;23;8388608
trace1;10;1024
trace1;27;134217728
trace1;27;134217728
trace1;0;1
trace1;11;2048
trace1;17;131072
trace1;13;8192
trace1;12;4096
trace1;9;512
trace1;12;4096
trace1;9;512
trace1;16;65536
trace1;10;1024
trace1;20;1048576
trace1;9;512
trace1;24;16777216
trace1;20;1048576
