trace1;I x;I y
trace1;-3.0;0.037037037037037035
trace1;-8.0;0.00015241579027587258
trace1;-10.0;1.6935087808430286e-05
trace1;12.0;531441.0
trace1;12.0;531441.0
trace1;3.0;27.0
trace1;-3.0;0.037037037037037035
trace1;14.0;4782969.0
trace1;10.0;59049.0
trace1;11.0;177147.0
trace1;10.0;59049.0
trace1;0.0;1.0
trace1;-18.0;2.581174791713197e-09
trace1;4.0;81.0
trace1;-12.0;1.8816764231589208e-06
trace1;0.0;1.0
trace1;-14.0;2.0907515812876897e-07
trace1;-9.0;5.080526342529086e-05
trace1;-17.0;7.743524375139592e-09
trace1;8.0;6561.0
