trace1;I x;I a
trace1;99;1
trace1;39;1
trace1;85;1
trace1;62;0
trace1;25;1
trace1;10;0
trace1;8;0
trace1;63;1
trace1;3;1
trace1;58;0
trace1;38;0
trace1;71;1
trace1;87;1
trace1;58;0
trace1;62;0
trace1;74;0
trace1;93;1
trace1;99;1
trace1;24;0
trace1;44;0
trace1;32;0
trace1;91;1
trace1;23;1
trace1;29;1
trace1;45;1
trace1;35;1
trace1;53;1
trace1;19;1
trace1;31;1
trace1;18;0
trace1;53;1
trace1;44;0
trace1;25;1
trace1;60;0
trace1;75;1
trace1;49;1
trace1;49;1
trace1;12;0
trace1;15;1
trace1;20;0
trace1;48;0
trace1;84;0
trace1;71;1
trace1;11;1
trace1;47;1
trace1;97;1
trace1;37;1
trace1;11;1
trace1;61;1
trace1;63;1
trace1;77;1
trace1;3;1
trace1;6;0
trace1;18;0
trace1;74;0
trace1;40;0
trace1;40;0
trace1;43;1
trace1;45;1
trace1;50;0
trace1;63;1
trace1;31;1
trace1;94;0
trace1;63;1
trace1;52;0
trace1;82;0
trace1;19;1
trace1;34;0
trace1;57;1
trace1;54;0
trace1;21;1
trace1;26;0
trace1;75;1
trace1;37;1
trace1;90;0
trace1;93;1
trace1;51;1
trace1;29;1
trace1;31;1
trace1;87;1
trace1;90;0
trace1;95;1
trace1;9;1
trace1;4;0
trace1;6;0
trace1;42;0
trace1;47;1
trace1;92;0
trace1;31;1
trace1;42;0
trace1;3;1
trace1;9;1
trace1;12;0
trace1;10;0
trace1;64;0
trace1;26;0
trace1;37;1
trace1;13;1
trace1;91;1
trace1;22;0
