trace1;I x;I b;I a
trace1;55;20;15
trace1;77;5;2
trace1;80;17;12
trace1;48;20;8
trace1;59;13;7
trace1;96;13;5
trace1;68;14;12
trace1;93;5;3
trace1;46;5;1
trace1;78;8;6
trace1;13;13;0
trace1;90;1;0
trace1;28;9;1
trace1;13;3;1
trace1;73;13;8
trace1;3;3;0
trace1;66;5;1
trace1;90;2;0
trace1;23;4;3
trace1;20;10;0
trace1;8;7;1
trace1;67;14;11
trace1;76;9;4
trace1;80;3;2
trace1;60;4;0
trace1;10;19;10
trace1;28;6;4
trace1;43;16;11
trace1;79;2;1
trace1;9;20;9
trace1;57;16;9
trace1;53;3;2
trace1;96;13;5
trace1;6;15;6
trace1;67;14;11
trace1;58;7;2
trace1;43;13;4
trace1;37;5;2
trace1;39;8;7
trace1;5;12;5
trace1;94;5;4
trace1;31;7;3
trace1;35;2;1
trace1;81;13;3
trace1;22;5;2
trace1;68;9;5
trace1;16;2;0
trace1;48;3;0
trace1;98;16;2
trace1;35;2;1
trace1;70;9;7
trace1;21;6;3
trace1;80;11;3
trace1;36;17;2
trace1;48;3;0
trace1;31;18;13
trace1;28;12;4
trace1;49;14;7
trace1;27;10;7
trace1;75;15;0
trace1;24;16;8
trace1;95;20;15
trace1;78;18;6
trace1;26;3;2
trace1;19;11;8
trace1;22;3;1
trace1;95;7;4
trace1;47;12;11
trace1;100;2;0
trace1;12;12;0
trace1;90;20;10
trace1;2;4;2
trace1;88;4;0
trace1;58;11;3
trace1;100;12;4
trace1;32;16;0
trace1;44;17;10
trace1;22;10;2
trace1;54;1;0
trace1;55;8;7
trace1;68;10;8
trace1;34;6;4
trace1;57;1;0
trace1;87;10;7
trace1;34;13;8
trace1;30;8;6
trace1;64;2;0
trace1;61;13;9
trace1;73;20;13
trace1;5;1;0
trace1;57;16;9
trace1;30;16;14
trace1;77;12;5
trace1;67;11;1
trace1;95;2;1
trace1;82;20;2
trace1;90;11;2
trace1;3;8;3
trace1;63;19;6
trace1;37;9;1
