trace1;I x;I y
trace1;42;74088
trace1;-7;-343
trace1;38;54872
trace1;37;50653
trace1;41;68921
trace1;26;17576
trace1;14;2744
trace1;1;1
trace1;-3;-27
trace1;-4;-64
trace1;9;729
trace1;18;5832
trace1;46;97336
trace1;32;32768
trace1;7;343
trace1;-9;-729
trace1;49;117649
trace1;26;17576
trace1;40;64000
trace1;35;42875
trace1;-8;-512
trace1;5;125
trace1;36;46656
trace1;-3;-27
trace1;13;2197
trace1;32;32768
trace1;8;512
trace1;22;10648
trace1;6;216
trace1;41;68921
trace1;48;110592
trace1;6;216
trace1;-6;-216
trace1;24;13824
trace1;4;64
trace1;5;125
trace1;50;125000
trace1;43;79507
trace1;39;59319
trace1;35;42875
trace1;37;50653
trace1;50;125000
trace1;16;4096
trace1;25;15625
trace1;2;8
trace1;30;27000
trace1;39;59319
trace1;38;54872
trace1;6;216
trace1;20;8000
trace1;2;8
trace1;38;54872
trace1;33;35937
trace1;21;9261
trace1;6;216
trace1;46;97336
trace1;45;91125
trace1;-2;-8
trace1;26;17576
trace1;48;110592
trace1;8;512
trace1;8;512
trace1;-6;-216
trace1;14;2744
trace1;-2;-8
trace1;31;29791
trace1;32;32768
trace1;10;1000
trace1;2;8
trace1;17;4913
trace1;3;27
trace1;11;1331
trace1;4;64
trace1;26;17576
trace1;27;19683
trace1;44;85184
trace1;32;32768
trace1;30;27000
trace1;-8;-512
trace1;41;68921
trace1;31;29791
trace1;23;12167
trace1;42;74088
trace1;4;64
trace1;9;729
trace1;-6;-216
trace1;-7;-343
trace1;50;125000
trace1;17;4913
trace1;20;8000
trace1;2;8
trace1;50;125000
trace1;46;97336
trace1;11;1331
trace1;13;2197
trace1;24;13824
trace1;-8;-512
trace1;48;110592
trace1;-5;-125
trace1;13;2197
