trace1;I x;I y
trace1;50;2500
trace1;10;100
trace1;13;169
trace1;8;64
trace1;11;121
trace1;18;324
trace1;37;1369
trace1;21;441
trace1;12;144
trace1;33;1089
trace1;31;961
trace1;-1;1
trace1;14;196
trace1;47;2209
trace1;7;49
trace1;-9;81
trace1;42;1764
trace1;4;16
trace1;12;144
trace1;37;1369
trace1;44;1936
trace1;39;1521
trace1;40;1600
trace1;35;1225
trace1;8;64
trace1;18;324
trace1;19;361
trace1;28;784
trace1;40;1600
trace1;40;1600
trace1;12;144
trace1;38;1444
trace1;46;2116
trace1;20;400
trace1;1;1
trace1;-7;49
trace1;23;529
trace1;36;1296
trace1;6;36
trace1;-7;49
trace1;35;1225
trace1;35;1225
trace1;-3;9
trace1;39;1521
trace1;44;1936
trace1;-3;9
trace1;-5;25
trace1;39;1521
trace1;45;2025
trace1;33;1089
trace1;25;625
trace1;-2;4
trace1;14;196
trace1;7;49
trace1;23;529
trace1;25;625
trace1;12;144
trace1;39;1521
trace1;-5;25
trace1;42;1764
trace1;11;121
trace1;37;1369
trace1;-5;25
trace1;14;196
trace1;45;2025
trace1;48;2304
trace1;8;64
trace1;-2;4
trace1;10;100
trace1;38;1444
trace1;5;25
trace1;8;64
trace1;-6;36
trace1;40;1600
trace1;36;1296
trace1;-7;49
trace1;17;289
trace1;8;64
trace1;-4;16
trace1;11;121
trace1;49;2401
trace1;1;1
trace1;-4;16
trace1;46;2116
trace1;3;9
trace1;23;529
trace1;50;2500
trace1;6;36
trace1;44;1936
trace1;8;64
trace1;8;64
trace1;46;2116
trace1;14;196
trace1;26;676
trace1;49;2401
trace1;-6;36
trace1;14;196
trace1;45;2025
trace1;-3;9
trace1;33;1089
