trace1;I x;I y;I b;I a
trace1;87;33;4;0
trace1;34;35;20;9
trace1;40;63;9;4
trace1;74;36;8;6
trace1;14;8;16;6
trace1;48;39;11;10
trace1;92;30;9;5
trace1;57;81;7;5
trace1;0;81;2;1
trace1;81;44;13;8
trace1;92;70;3;0
trace1;51;14;4;1
trace1;31;85;2;0
trace1;74;79;17;0
trace1;56;9;11;10
trace1;64;4;8;4
trace1;46;53;11;0
trace1;78;33;6;3
trace1;94;61;20;15
trace1;71;85;7;2
trace1;43;81;8;4
trace1;39;28;6;1
trace1;19;51;17;2
trace1;78;24;7;4
trace1;27;14;10;1
trace1;51;96;5;2
trace1;14;64;2;0
trace1;22;81;11;4
trace1;69;97;13;10
trace1;6;75;5;1
trace1;8;53;14;5
trace1;28;35;16;15
trace1;92;85;12;9
trace1;38;77;18;7
trace1;0;45;8;5
trace1;96;80;20;16
trace1;50;26;14;6
trace1;85;9;12;10
trace1;7;57;14;8
trace1;39;9;4;0
trace1;26;18;7;2
trace1;45;82;16;15
trace1;61;55;13;12
trace1;62;24;20;6
trace1;2;72;1;0
trace1;7;52;3;2
trace1;36;19;16;7
trace1;21;22;7;1
trace1;58;58;9;8
trace1;49;7;11;1
trace1;3;8;9;2
trace1;69;1;4;2
trace1;62;24;7;2
trace1;20;84;11;5
trace1;100;32;2;0
trace1;64;21;9;4
trace1;10;85;16;15
trace1;40;41;7;4
trace1;50;58;4;0
trace1;19;19;17;4
trace1;14;0;10;4
trace1;55;41;18;6
trace1;82;28;13;6
trace1;87;69;11;2
trace1;84;12;6;0
trace1;45;9;15;9
trace1;79;24;20;3
trace1;86;36;20;2
trace1;92;98;15;10
trace1;23;61;2;0
trace1;8;29;15;7
trace1;88;43;10;1
trace1;63;17;1;0
trace1;27;10;2;1
trace1;24;59;16;3
trace1;21;13;19;15
trace1;57;14;2;1
trace1;34;64;7;0
trace1;48;84;17;13
trace1;54;64;13;1
trace1;78;0;13;0
trace1;68;72;17;4
trace1;30;19;16;1
trace1;3;64;20;7
trace1;93;65;7;4
trace1;35;0;15;5
trace1;4;4;2;0
trace1;84;73;10;7
trace1;18;19;17;3
trace1;12;7;1;0
trace1;91;41;1;0
trace1;54;17;4;3
trace1;88;14;4;2
trace1;37;58;15;5
trace1;63;43;4;2
trace1;95;99;5;4
trace1;34;0;18;16
trace1;46;53;15;9
trace1;29;79;14;10
trace1;78;82;3;1
