trace1;I y;I x
trace1;51389;1320388967
trace1;8594;36924122
trace1;29338;430344454
trace1;30795;474150616
trace1;16081;129291241
trace1;80565;3245319331
trace1;72907;2657678872
trace1;33355;556261336
trace1;74890;2804218606
trace1;27791;386155946
trace1;45949;1055632327
trace1;23068;266054779
trace1;53352;1423191277
trace1;59822;1789305932
trace1;57824;1671778577
trace1;44839;1005245542
trace1;87880;3861403261
trace1;83940;3522919831
trace1;51023;1301647754
trace1;82715;3420844256
trace1;54699;1495962952
trace1;99363;4936453204
trace1;33136;548980681
trace1;6087;18522742
trace1;901;405451
trace1;25967;337129562
trace1;15776;124433201
trace1;61689;1902735517
trace1;76593;2933205529
trace1;96395;4645949816
trace1;45932;1054851347
trace1;46726;1091636176
trace1;97970;4799011466
trace1;4462;9952492
trace1;71796;2577296911
trace1;71434;2551372462
trace1;48884;1194798287
trace1;48780;1189719811
trace1;88973;3958052879
trace1;88374;3904937752
trace1;23792;283017737
trace1;77361;2992323481
trace1;81884;3352453787
trace1;3869;7482647
trace1;12203;74450504
trace1;4709;11084987
trace1;91746;4208618386
trace1;14511;105277306
trace1;57961;1679709781
trace1;54076;1462079851
trace1;92441;4272623021
trace1;53599;1436399602
trace1;51646;1333628836
trace1;91073;4147100129
trace1;84947;3607953932
trace1;97389;4742259967
trace1;59903;1794154754
trace1;92083;4239593404
trace1;69251;2397815876
trace1;82112;3371149217
trace1;81277;3302934727
trace1;27519;378633922
trace1;50168;1258389029
trace1;38552;743109077
trace1;32382;524280772
trace1;46488;1080543829
trace1;64326;2068884976
trace1;17613;155100079
trace1;17104;146264857
trace1;21932;240495347
trace1;83886;3518388556
trace1;67000;2244466501
trace1;41898;877700254
trace1;78130;3052109386
trace1;53918;1453548404
trace1;29315;429669956
trace1;56011;1568588056
trace1;12256;75098641
trace1;88035;3875036596
trace1;44908;1008341779
trace1;99845;4984462091
trace1;88222;3891516532
trace1;32475;527296576
trace1;72626;2637231626
trace1;30963;479338204
trace1;78040;3045081781
trace1;65727;2159986402
trace1;39796;791840911
trace1;91731;4207242316
trace1;32467;527036812
trace1;88192;3888870337
trace1;31288;489453829
trace1;86265;3720781981
trace1;87795;3853937116
trace1;17988;161775079
trace1;31329;490737457
trace1;65821;2166169111
trace1;36693;673169779
trace1;96650;4670562926
trace1;79954;3196281082
