trace1;I x;I b;I a;I z;I y
trace1;86;80;11;80;11
trace1;17;24;23;24;23
trace1;92;47;25;47;25
trace1;25;-33;-76;-33;-76
trace1;79;72;59;72;59
trace1;94;90;82;90;82
trace1;10;-22;-36;-22;-36
trace1;10;-59;25;-59;-59
trace1;19;-54;95;-54;-54
trace1;13;73;-84;73;-84
trace1;16;46;23;46;23
trace1;56;-84;-35;-84;-84
trace1;14;72;39;72;39
trace1;42;-46;95;-46;-46
trace1;49;-51;46;-51;-51
trace1;63;91;-4;91;-4
trace1;49;-29;20;-29;-29
trace1;68;-59;-12;-59;-59
trace1;8;-36;-76;-36;-76
trace1;92;78;-91;78;-91
trace1;5;91;-86;91;-86
trace1;95;2;-78;2;-78
trace1;97;89;20;89;20
trace1;7;90;-95;90;-95
trace1;46;60;-61;60;-61
trace1;52;65;80;65;65
trace1;1;-46;-7;-46;-46
trace1;70;89;-68;89;-68
trace1;55;-51;52;-51;-51
trace1;26;-75;23;-75;-75
trace1;37;-48;-86;-48;-86
trace1;98;-49;81;-49;-49
trace1;72;-99;-40;-99;-99
trace1;79;85;-75;85;-75
trace1;97;-40;-20;-40;-40
trace1;98;28;94;28;28
trace1;18;-55;-55;-55;-55
trace1;9;-12;62;-12;-12
trace1;56;43;-28;43;-28
trace1;5;1;72;1;1
trace1;49;26;-96;26;-96
trace1;80;-82;-74;-82;-82
trace1;83;-2;-64;-2;-64
trace1;15;72;-18;72;-18
trace1;37;-21;51;-21;-21
trace1;84;85;73;85;73
trace1;62;54;-35;54;-35
trace1;15;10;60;10;10
trace1;21;91;98;91;91
trace1;92;-47;55;-47;-47
trace1;57;-1;92;-1;-1
trace1;94;-2;-70;-2;-70
trace1;0;-81;60;-81;60
trace1;46;-48;54;-48;-48
trace1;66;34;-84;34;-84
trace1;42;-78;-26;-78;-78
trace1;18;67;-48;67;-48
trace1;8;61;-85;61;-85
trace1;38;-22;85;-22;-22
trace1;78;-93;9;-93;-93
trace1;51;87;-57;87;-57
trace1;37;-3;-26;-3;-26
trace1;98;-68;18;-68;-68
trace1;20;-77;-94;-77;-94
trace1;25;-41;-33;-41;-41
trace1;84;21;77;21;21
trace1;77;-72;13;-72;-72
trace1;58;11;-24;11;-24
trace1;100;30;-41;30;-41
trace1;77;-72;42;-72;-72
trace1;6;89;59;89;59
trace1;50;-43;79;-43;-43
trace1;10;49;-84;49;-84
trace1;70;-95;0;-95;-95
trace1;61;13;72;13;13
trace1;100;-98;92;-98;-98
trace1;96;27;38;27;27
trace1;82;-47;68;-47;-47
trace1;78;26;18;26;18
trace1;87;-76;-74;-76;-76
trace1;56;27;94;27;27
trace1;82;-69;78;-69;-69
trace1;58;0;-54;0;-54
trace1;32;79;-18;79;-18
trace1;32;-33;-28;-33;-33
trace1;98;-56;41;-56;-56
trace1;81;61;93;61;61
trace1;29;-19;15;-19;-19
trace1;74;-89;23;-89;-89
trace1;10;18;59;18;18
trace1;97;51;80;51;51
trace1;95;41;2;41;2
trace1;20;9;99;9;9
trace1;56;37;45;37;37
trace1;88;13;-13;13;-13
trace1;92;-100;42;-100;-100
trace1;55;-46;-52;-46;-52
trace1;9;-7;33;-7;-7
trace1;50;57;19;57;19
trace1;58;68;-21;68;-21
