trace1;I a;I b;I n;I x;I y
trace1;4;7;59;594;597
trace1;3;0;27;273;270
trace1;4;10;11;114;120
trace1;2;7;91;912;917
trace1;6;1;30;306;301
trace1;7;3;50;507;503
trace1;0;5;27;270;275
trace1;5;3;73;735;733
trace1;7;7;94;947;947
trace1;6;9;4;46;49
trace1;5;8;10;105;108
trace1;10;9;69;700;699
trace1;10;5;64;650;645
trace1;1;3;63;631;633
trace1;4;2;50;504;502
trace1;6;2;41;416;412
trace1;11;6;14;151;146
trace1;2;6;77;772;776
trace1;8;5;12;128;125
trace1;11;10;42;431;430
trace1;1;4;64;641;644
trace1;11;6;27;281;276
trace1;3;3;53;533;533
trace1;1;10;30;301;310
trace1;1;3;49;491;493
trace1;1;7;49;491;497
trace1;1;4;14;141;144
trace1;2;9;78;782;789
trace1;2;0;8;82;80
trace1;10;8;69;700;698
trace1;3;7;3;33;37
trace1;7;3;93;937;933
trace1;4;8;5;54;58
trace1;7;6;37;377;376
trace1;3;8;2;23;28
trace1;8;6;33;338;336
trace1;9;6;20;209;206
trace1;7;3;9;97;93
trace1;7;6;57;577;576
trace1;1;0;38;381;380
trace1;7;2;70;707;702
trace1;11;8;7;81;78
trace1;4;7;78;784;787
trace1;2;2;13;132;132
trace1;4;10;39;394;400
trace1;10;4;78;790;784
trace1;9;6;74;749;746
trace1;1;10;95;951;960
trace1;6;0;19;196;190
trace1;8;0;64;648;640
trace1;8;4;1;18;14
trace1;4;9;29;294;299
trace1;11;1;69;701;691
trace1;3;7;61;613;617
trace1;6;1;70;706;701
trace1;11;4;9;101;94
trace1;7;11;55;557;561
trace1;2;11;96;962;971
trace1;0;10;56;560;570
trace1;3;2;14;143;142
trace1;10;7;70;710;707
trace1;11;4;98;991;984
trace1;0;10;11;110;120
trace1;9;6;23;239;236
trace1;10;2;26;270;262
trace1;7;2;88;887;882
trace1;11;4;92;931;924
trace1;4;0;35;354;350
trace1;5;3;81;815;813
trace1;2;3;77;772;773
trace1;5;8;24;245;248
trace1;11;2;100;1011;1002
trace1;0;1;91;910;911
trace1;8;4;69;698;694
trace1;6;4;46;466;464
trace1;1;0;83;831;830
trace1;0;1;82;820;821
trace1;9;5;15;159;155
trace1;0;9;58;580;589
trace1;11;2;32;331;322
trace1;11;8;37;381;378
trace1;8;8;99;998;998
trace1;5;9;10;105;109
trace1;11;5;8;91;85
trace1;10;8;8;90;88
trace1;1;10;68;681;690
trace1;3;9;75;753;759
trace1;9;3;90;909;903
trace1;7;11;44;447;451
trace1;9;5;89;899;895
trace1;0;7;63;630;637
trace1;8;0;34;348;340
trace1;9;9;48;489;489
trace1;11;2;57;581;572
trace1;3;10;53;533;540
trace1;11;6;27;281;276
trace1;9;2;66;669;662
trace1;11;3;84;851;843
trace1;10;8;84;850;848
trace1;5;5;9;95;95
