trace1;I x;I m;I z
trace1;107;47;124
trace1;112;68;124
trace1;21;6;124
trace1;81;22;124
trace1;82;79;124
trace1;80;78;124
trace1;61;35;124
trace1;83;8;124
trace1;29;20;124
trace1;89;44;124
trace1;73;65;124
trace1;41;8;124
trace1;46;20;124
trace1;54;24;124
trace1;80;11;124
trace1;89;20;124
trace1;28;23;124
trace1;54;2;124
trace1;37;30;124
trace1;84;16;124
trace1;10;1;124
trace1;70;6;124
trace1;36;15;124
trace1;92;11;124
trace1;95;9;124
trace1;32;28;124
trace1;101;99;124
trace1;55;53;124
trace1;8;6;124
trace1;111;56;124
trace1;121;78;124
trace1;91;69;124
trace1;53;52;124
trace1;84;43;124
trace1;97;56;124
trace1;28;4;124
trace1;122;112;124
trace1;89;89;124
trace1;59;56;124
trace1;8;2;124
trace1;87;28;124
trace1;76;8;124
trace1;68;20;124
trace1;71;14;124
trace1;72;53;124
trace1;86;58;124
trace1;55;1;124
trace1;61;42;124
trace1;8;7;124
trace1;56;17;124
trace1;30;16;124
trace1;100;8;124
trace1;90;9;124
trace1;49;41;124
trace1;25;16;124
trace1;51;1;124
trace1;33;8;124
trace1;119;69;124
trace1;50;10;124
trace1;15;14;124
trace1;30;24;124
trace1;27;11;124
trace1;62;50;124
trace1;124;95;124
trace1;40;10;124
trace1;109;27;124
trace1;36;33;124
trace1;40;23;124
trace1;57;28;124
trace1;25;19;124
trace1;104;5;124
trace1;59;10;124
trace1;82;43;124
trace1;45;7;124
trace1;53;47;124
trace1;106;43;124
trace1;37;24;124
trace1;35;20;124
trace1;41;16;124
trace1;117;111;124
trace1;15;5;124
trace1;38;5;124
trace1;95;74;124
trace1;101;44;124
trace1;13;10;124
trace1;71;5;124
trace1;108;67;124
trace1;20;19;124
trace1;37;4;124
trace1;105;72;124
trace1;11;8;124
trace1;49;32;124
trace1;95;81;124
trace1;66;13;124
trace1;121;34;124
trace1;60;24;124
trace1;79;59;124
trace1;65;31;124
trace1;76;18;124
trace1;20;6;124
