trace1;I x;I n
trace1;59;100
trace1;41;100
trace1;59;100
trace1;26;100
trace1;94;100
trace1;2;100
trace1;61;100
trace1;12;100
trace1;37;100
trace1;43;100
trace1;6;100
trace1;6;100
trace1;95;100
trace1;29;100
trace1;22;100
trace1;63;100
trace1;86;100
trace1;35;100
trace1;72;100
trace1;97;100
trace1;17;100
trace1;42;100
trace1;61;100
trace1;96;100
trace1;77;100
trace1;82;100
trace1;22;100
trace1;37;100
trace1;45;100
trace1;60;100
trace1;100;100
trace1;69;100
trace1;33;100
trace1;62;100
trace1;46;100
trace1;52;100
trace1;52;100
trace1;85;100
trace1;96;100
trace1;76;100
trace1;47;100
trace1;21;100
trace1;1;100
trace1;32;100
trace1;32;100
trace1;67;100
trace1;5;100
trace1;41;100
trace1;65;100
trace1;52;100
trace1;9;100
trace1;4;100
trace1;56;100
trace1;80;100
trace1;82;100
trace1;33;100
trace1;10;100
trace1;11;100
trace1;18;100
trace1;90;100
trace1;27;100
trace1;5;100
trace1;41;100
trace1;2;100
trace1;35;100
trace1;61;100
trace1;0;100
trace1;44;100
trace1;63;100
trace1;29;100
trace1;74;100
trace1;62;100
trace1;34;100
trace1;35;100
trace1;21;100
trace1;44;100
trace1;20;100
trace1;76;100
trace1;25;100
trace1;74;100
trace1;64;100
trace1;79;100
trace1;18;100
trace1;8;100
trace1;21;100
trace1;87;100
trace1;18;100
trace1;75;100
trace1;31;100
trace1;18;100
trace1;1;100
trace1;99;100
trace1;32;100
trace1;77;100
trace1;80;100
trace1;30;100
trace1;28;100
trace1;67;100
trace1;18;100
trace1;23;100
