trace1;I n;I x
trace1;82;66
trace1;-51;-51
trace1;33;33
trace1;-64;-64
trace1;12;12
trace1;-43;-43
trace1;-42;-42
trace1;-86;-86
trace1;58;10
trace1;-7;-7
trace1;-96;-96
trace1;6;6
trace1;-34;-34
trace1;-70;-70
trace1;2;2
trace1;-64;-64
trace1;97;59
trace1;94;15
trace1;-90;-90
trace1;91;91
trace1;92;7
trace1;-30;-30
trace1;-16;-16
trace1;-67;-67
trace1;8;8
trace1;-85;-85
trace1;51;51
trace1;26;26
trace1;-51;-51
trace1;17;17
trace1;25;25
trace1;87;53
trace1;-76;-76
trace1;53;2
trace1;-48;-48
trace1;-15;-15
trace1;-93;-93
trace1;90;56
trace1;15;15
trace1;5;5
trace1;87;87
trace1;4;4
trace1;-92;-92
trace1;-24;-24
trace1;-31;-31
trace1;-100;-100
trace1;55;55
trace1;77;41
trace1;-35;-35
trace1;-1;-1
trace1;88;88
trace1;-50;-50
trace1;32;32
trace1;64;64
trace1;-82;-82
trace1;-42;-42
trace1;-15;-15
trace1;-19;-19
trace1;-72;-72
trace1;67;67
trace1;72;72
trace1;-81;-81
trace1;-28;-28
trace1;-17;-17
trace1;-11;-11
trace1;-29;-29
trace1;15;15
trace1;81;81
trace1;88;56
trace1;-53;-53
trace1;24;17
trace1;-54;-54
trace1;82;25
trace1;-4;-4
trace1;-81;-81
trace1;89;32
trace1;-60;-60
trace1;42;42
trace1;24;24
trace1;-94;-94
trace1;8;8
trace1;-17;-17
trace1;43;43
trace1;8;4
trace1;-64;-64
trace1;-47;-47
trace1;-32;-32
trace1;29;29
trace1;-30;-30
trace1;-63;-63
trace1;-31;-31
trace1;63;4
trace1;36;23
trace1;91;87
trace1;33;24
trace1;2;2
trace1;60;26
trace1;-58;-58
trace1;-22;-22
trace1;5;5
