trace1;I n;I c
trace1;92;41
trace1;35;23
trace1;52;50
trace1;4;1
trace1;16;0
trace1;57;29
trace1;21;21
trace1;99;6
trace1;42;26
trace1;9;4
trace1;23;3
trace1;60;27
trace1;89;83
trace1;30;25
trace1;93;7
trace1;84;30
trace1;99;63
trace1;83;15
trace1;60;55
trace1;24;15
trace1;86;85
trace1;43;6
trace1;72;6
trace1;58;22
trace1;37;19
trace1;98;74
trace1;67;10
trace1;16;9
trace1;55;53
trace1;21;18
trace1;83;24
trace1;77;5
trace1;22;18
trace1;42;35
trace1;53;31
trace1;47;16
trace1;24;1
trace1;40;34
trace1;60;32
trace1;17;14
trace1;83;70
trace1;12;10
trace1;64;5
trace1;77;15
trace1;52;3
trace1;58;57
trace1;53;6
trace1;55;45
trace1;77;18
trace1;22;13
trace1;35;24
trace1;1;1
trace1;50;19
trace1;98;52
trace1;68;34
trace1;5;2
trace1;13;1
trace1;78;33
trace1;29;28
trace1;93;81
trace1;32;19
trace1;16;14
trace1;95;80
trace1;70;65
trace1;53;27
trace1;12;7
trace1;48;8
trace1;90;7
trace1;39;16
trace1;85;56
trace1;67;63
trace1;51;9
trace1;46;13
trace1;88;22
trace1;29;14
trace1;92;34
trace1;49;49
trace1;40;24
trace1;83;24
trace1;72;52
trace1;45;13
trace1;82;25
trace1;34;3
trace1;77;15
trace1;9;4
trace1;36;10
trace1;71;30
trace1;34;28
trace1;37;33
trace1;92;46
trace1;87;76
trace1;3;0
trace1;39;15
trace1;95;46
trace1;98;56
trace1;96;12
trace1;3;1
trace1;57;36
trace1;73;45
trace1;65;57
