trace1;I x;I y
trace1;6;5
trace1;7;4
trace1;6;5
trace1;3;8
trace1;5;6
trace1;1;0
trace1;4;7
trace1;8;3
trace1;3;8
trace1;6;5
trace1;5;6
trace1;3;8
trace1;1;19
trace1;8;3
trace1;4;7
trace1;3;8
trace1;9;2
trace1;9;2
trace1;7;4
trace1;7;4
trace1;10;1
trace1;5;6
trace1;7;4
trace1;1;-6
trace1;2;9
trace1;7;4
trace1;8;3
trace1;4;7
trace1;5;6
trace1;7;4
trace1;3;8
trace1;7;4
trace1;4;7
trace1;7;4
trace1;7;4
trace1;8;3
trace1;2;9
trace1;10;1
trace1;10;1
trace1;4;7
trace1;3;8
trace1;10;1
trace1;1;-16
trace1;6;5
trace1;9;2
trace1;2;9
trace1;6;5
trace1;3;8
trace1;9;2
trace1;1;-17
trace1;4;7
trace1;1;12
trace1;6;5
trace1;5;6
trace1;8;3
trace1;6;5
trace1;9;2
trace1;9;2
trace1;8;3
trace1;5;6
trace1;6;5
trace1;1;0
trace1;7;4
trace1;1;-14
trace1;3;8
trace1;1;3
trace1;2;9
trace1;5;6
trace1;9;2
trace1;8;3
trace1;1;4
trace1;2;9
trace1;7;4
trace1;2;9
trace1;1;16
trace1;5;6
trace1;10;1
trace1;3;8
trace1;10;1
trace1;6;5
trace1;9;2
trace1;9;2
trace1;9;2
trace1;7;4
trace1;8;3
trace1;8;3
trace1;6;5
trace1;3;8
trace1;2;9
trace1;9;2
trace1;4;7
trace1;6;5
trace1;10;1
trace1;5;6
trace1;7;4
trace1;5;6
trace1;7;4
trace1;8;3
trace1;8;3
trace1;7;4
