trace1;I n;I x;I y
trace1;6;24;-17
trace1;4;63;-58
trace1;6;24;-17
trace1;8;41;-32
trace1;6;34;-27
trace1;6;6;1
trace1;3;8;-4
trace1;10;62;-51
trace1;2;23;-20
trace1;9;38;-28
trace1;1;8;-6
trace1;3;23;-19
trace1;8;53;-44
trace1;5;78;-72
trace1;2;44;-41
trace1;10;68;-57
trace1;5;85;-79
trace1;8;79;-70
trace1;1;66;-64
trace1;9;53;-43
trace1;0;35;-34
trace1;3;85;-81
trace1;9;82;-72
trace1;7;94;-86
trace1;10;94;-83
trace1;9;42;-32
trace1;6;12;-5
trace1;2;85;-82
trace1;6;11;-4
trace1;9;4;6
trace1;3;16;-12
trace1;0;35;-34
trace1;3;34;-30
trace1;8;12;-3
trace1;0;94;-93
trace1;7;75;-67
trace1;8;38;-29
trace1;7;30;-22
trace1;4;60;-55
trace1;3;50;-46
trace1;2;87;-84
trace1;0;85;-84
trace1;9;29;-19
trace1;4;85;-80
trace1;10;69;-58
trace1;9;22;-12
trace1;6;52;-45
trace1;2;9;-6
trace1;5;55;-49
trace1;8;55;-46
trace1;5;52;-46
trace1;9;63;-53
trace1;9;66;-56
trace1;1;6;-4
trace1;10;26;-15
trace1;1;83;-81
trace1;8;89;-80
trace1;2;19;-16
trace1;9;13;-3
trace1;4;67;-62
trace1;6;69;-62
trace1;2;100;-97
trace1;5;87;-81
trace1;1;46;-44
trace1;3;43;-39
trace1;4;73;-68
trace1;1;90;-88
trace1;0;84;-83
trace1;3;87;-83
trace1;5;91;-85
trace1;2;31;-28
trace1;8;34;-25
trace1;1;57;-55
trace1;4;39;-34
trace1;7;35;-27
trace1;5;99;-93
trace1;4;98;-93
trace1;6;42;-35
trace1;4;69;-64
trace1;3;49;-45
trace1;5;64;-58
trace1;6;6;1
trace1;10;49;-38
trace1;3;2;2
trace1;10;18;-7
trace1;3;90;-86
trace1;7;12;-4
trace1;5;41;-35
trace1;0;93;-92
trace1;10;37;-26
trace1;3;2;2
trace1;6;71;-64
trace1;4;26;-21
trace1;9;85;-75
trace1;9;70;-60
trace1;1;10;-8
trace1;5;51;-45
trace1;0;52;-51
trace1;3;21;-17
trace1;10;23;-12
