trace1;I y;I c;I z
trace1;205;27;7407
trace1;137;29;4961
trace1;234;7;8431
trace1;213;15;7683
trace1;139;3;5007
trace1;130;9;4689
trace1;148;13;5341
trace1;231;7;8323
trace1;169;22;6106
trace1;200;18;7218
trace1;151;11;5447
trace1;247;34;8926
trace1;226;1;8137
trace1;175;9;6309
trace1;189;33;6837
trace1;229;3;8247
trace1;252;4;9076
trace1;201;23;7259
trace1;242;36;8748
trace1;180;34;6514
trace1;243;8;8756
trace1;204;24;7368
trace1;223;0;8028
trace1;207;0;7452
trace1;146;24;5280
trace1;161;18;5814
trace1;251;23;9059
trace1;165;29;5969
trace1;232;6;8358
trace1;248;18;8946
trace1;189;33;6837
trace1;193;34;6982
trace1;226;11;8147
trace1;162;6;5838
trace1;135;3;4863
trace1;233;3;8391
trace1;222;24;8016
trace1;203;22;7330
trace1;221;13;7969
trace1;134;3;4827
trace1;141;29;5105
trace1;127;31;4603
trace1;243;19;8767
trace1;134;2;4826
trace1;224;5;8069
trace1;236;26;8522
trace1;239;21;8625
trace1;201;25;7261
trace1;218;12;7860
trace1;254;21;9165
trace1;190;27;6867
trace1;232;17;8369
trace1;160;35;5795
trace1;226;10;8146
trace1;140;22;5062
trace1;220;33;7953
trace1;252;22;9094
trace1;202;15;7287
trace1;231;3;8319
trace1;213;7;7675
trace1;204;36;7380
trace1;143;1;5149
trace1;147;36;5328
trace1;217;22;7834
trace1;174;13;6277
trace1;133;22;4810
trace1;178;5;6413
trace1;136;29;4925
trace1;229;32;8276
trace1;237;20;8552
trace1;211;16;7612
trace1;251;11;9047
trace1;214;32;7736
trace1;149;22;5386
trace1;230;2;8282
trace1;252;3;9075
trace1;143;6;5154
trace1;185;23;6683
trace1;129;22;4666
trace1;243;22;8770
trace1;177;27;6399
trace1;190;7;6847
trace1;150;24;5424
trace1;164;3;5907
trace1;247;6;8898
trace1;198;26;7154
trace1;216;31;7807
trace1;219;19;7903
trace1;143;33;5181
trace1;220;8;7928
trace1;228;9;8217
trace1;158;11;5699
trace1;227;10;8182
trace1;236;26;8522
trace1;194;28;7012
trace1;135;15;4875
trace1;135;8;4868
trace1;145;5;5225
trace1;237;7;8539
trace1;209;24;7548
trace1;236;19;8515
trace1;210;7;7567
trace1;252;19;9091
trace1;151;1;5437
trace1;133;31;4819
trace1;244;28;8812
trace1;173;23;6251
trace1;180;36;6516
trace1;155;28;5608
trace1;255;27;9207
trace1;157;1;5653
trace1;251;16;9052
trace1;248;8;8936
trace1;225;14;8114
trace1;175;17;6317
trace1;171;29;6185
trace1;155;31;5611
trace1;244;15;8799
trace1;142;11;5123
trace1;154;0;5544
trace1;141;11;5087
trace1;160;27;5787
trace1;243;23;8771
trace1;161;16;5812
trace1;204;2;7346
trace1;134;12;4836
trace1;251;23;9059
trace1;133;10;4798
trace1;201;7;7243
trace1;210;36;7596
trace1;244;15;8799
trace1;196;13;7069
trace1;174;26;6290
trace1;188;19;6787
trace1;205;20;7400
trace1;133;8;4796
trace1;152;16;5488
trace1;196;1;7057
trace1;210;2;7562
trace1;136;30;4926
trace1;244;23;8807
trace1;207;24;7476
trace1;184;23;6647
trace1;216;13;7789
trace1;130;17;4697
trace1;189;15;6819
trace1;213;0;7668
trace1;254;18;9162
trace1;253;5;9113
trace1;219;27;7911
trace1;180;6;6486
trace1;132;21;4773
trace1;149;5;5369
trace1;155;4;5584
trace1;233;8;8396
trace1;189;6;6810
trace1;220;8;7928
trace1;177;29;6401
trace1;206;18;7434
trace1;228;24;8232
trace1;158;5;5693
trace1;130;17;4697
trace1;255;5;9185
trace1;163;14;5882
trace1;205;1;7381
trace1;241;24;8700
trace1;241;9;8685
trace1;152;36;5508
trace1;179;28;6472
trace1;189;0;6804
trace1;202;36;7308
trace1;206;16;7432
trace1;244;17;8801
trace1;191;35;6911
trace1;207;10;7462
trace1;200;13;7213
trace1;171;19;6175
trace1;200;28;7228
trace1;217;21;7833
trace1;149;20;5384
trace1;218;8;7856
trace1;231;18;8334
trace1;231;26;8342
trace1;159;33;5757
trace1;194;12;6996
trace1;204;12;7356
trace1;158;36;5724
trace1;208;27;7515
trace1;246;7;8863
trace1;157;36;5688
trace1;148;19;5347
trace1;175;11;6311
trace1;220;0;7920
trace1;251;17;9053
trace1;231;1;8317
trace1;199;26;7190
trace1;176;33;6369
trace1;128;34;4642
trace1;226;23;8159
trace1;244;13;8797
trace1;130;31;4711
trace1;233;10;8398
trace1;134;28;4852
trace1;184;2;6626
trace1;248;16;8944
trace1;244;35;8819
trace1;159;17;5741
trace1;199;33;7197
trace1;214;12;7716
trace1;256;22;9238
trace1;241;9;8685
trace1;202;28;7300
trace1;234;23;8447
trace1;175;29;6329
trace1;143;5;5153
trace1;134;18;4842
trace1;250;15;9015
trace1;250;2;9002
trace1;209;21;7545
trace1;182;21;6573
trace1;217;27;7839
trace1;180;0;6480
trace1;140;19;5059
trace1;165;24;5964
trace1;233;10;8398
trace1;151;16;5452
trace1;250;28;9028
trace1;255;3;9183
trace1;214;31;7735
trace1;128;7;4615
trace1;176;34;6370
trace1;190;33;6873
trace1;173;23;6251
trace1;244;1;8785
trace1;244;13;8797
trace1;248;17;8945
trace1;214;13;7717
trace1;169;27;6111
trace1;142;6;5118
trace1;167;15;6027
trace1;138;13;4981
trace1;256;20;9236
trace1;133;36;4824
trace1;244;0;8784
trace1;189;16;6820
trace1;174;5;6269
trace1;149;25;5389
trace1;140;9;5049
trace1;234;19;8443
trace1;176;3;6339
trace1;143;22;5170
trace1;178;9;6417
trace1;143;36;5184
trace1;229;29;8273
trace1;240;10;8650
trace1;191;29;6905
trace1;214;23;7727
trace1;197;3;7095
trace1;151;22;5458
trace1;219;13;7897
trace1;179;3;6447
trace1;234;21;8445
trace1;225;33;8133
trace1;202;14;7286
trace1;234;30;8454
trace1;234;14;8438
trace1;170;11;6131
trace1;157;13;5665
trace1;213;3;7671
trace1;219;9;7893
trace1;188;28;6796
trace1;144;28;5212
trace1;248;36;8964
trace1;226;23;8159
trace1;158;34;5722
trace1;197;0;7092
trace1;179;22;6466
trace1;218;27;7875
trace1;133;23;4811
trace1;202;3;7275
trace1;134;32;4856
trace1;206;3;7419
trace1;201;31;7267
trace1;245;22;8842
trace1;211;17;7613
trace1;162;19;5851
trace1;246;34;8890
trace1;171;27;6183
trace1;169;19;6103
trace1;191;15;6891
trace1;255;18;9198
trace1;141;15;5091
trace1;138;36;5004
trace1;191;24;6900
trace1;153;7;5515
trace1;147;31;5323
trace1;168;27;6075
trace1;169;31;6115
trace1;152;33;5505
trace1;179;30;6474
trace1;129;9;4653
trace1;189;36;6840
trace1;220;9;7929
trace1;253;35;9143
trace1;135;19;4879
trace1;199;19;7183
trace1;131;17;4733
trace1;223;18;8046
trace1;240;36;8676
trace1;193;34;6982
trace1;207;28;7480
trace1;178;34;6442
trace1;239;14;8618
trace1;155;0;5580
trace1;209;33;7557
trace1;160;13;5773
trace1;245;24;8844
trace1;210;29;7589
trace1;148;35;5363
trace1;138;8;4976
trace1;223;20;8048
trace1;247;17;8909
trace1;175;22;6322
trace1;232;0;8352
trace1;229;24;8268
trace1;213;2;7670
trace1;240;4;8644
trace1;249;14;8978
trace1;188;30;6798
trace1;192;35;6947
trace1;246;0;8856
trace1;159;0;5724
trace1;144;21;5205
trace1;223;20;8048
trace1;174;6;6270
trace1;160;5;5765
trace1;200;5;7205
trace1;251;8;9044
trace1;240;0;8640
trace1;237;12;8544
trace1;184;4;6628
trace1;216;17;7793
trace1;172;27;6219
trace1;161;21;5817
trace1;220;35;7955
trace1;192;1;6913
trace1;214;8;7712
trace1;148;31;5359
trace1;161;10;5806
trace1;247;5;8897
trace1;201;24;7260
trace1;190;17;6857
trace1;222;18;8010
trace1;202;4;7276
trace1;131;7;4723
trace1;235;3;8463
trace1;217;10;7822
trace1;194;12;6996
trace1;204;12;7356
trace1;229;2;8246
trace1;210;23;7583
trace1;224;30;8094
trace1;131;29;4745
trace1;197;7;7099
trace1;231;33;8349
trace1;151;30;5466
trace1;232;12;8364
trace1;166;16;5992
trace1;214;24;7728
trace1;199;1;7165
trace1;230;36;8316
trace1;254;22;9166
trace1;241;22;8698
trace1;129;8;4652
trace1;230;3;8283
trace1;183;12;6600
trace1;193;13;6961
trace1;223;33;8061
trace1;251;7;9043
trace1;156;1;5617
trace1;155;17;5597
trace1;135;28;4888
trace1;253;13;9121
trace1;230;1;8281
trace1;243;33;8781
trace1;210;17;7577
trace1;147;29;5321
trace1;176;36;6372
trace1;131;21;4737
trace1;219;5;7889
trace1;192;22;6934
trace1;242;17;8729
trace1;161;25;5821
trace1;218;8;7856
trace1;227;25;8197
trace1;135;4;4864
trace1;210;9;7569
trace1;236;1;8497
trace1;170;20;6140
trace1;152;28;5500
trace1;206;32;7448
trace1;179;21;6465
trace1;164;4;5908
trace1;135;35;4895
trace1;144;14;5198
trace1;237;10;8542
