trace1;I y;I x;I i
trace1;64;128;60
trace1;64;128;59
trace1;64;128;36
trace1;64;128;31
trace1;64;128;37
trace1;64;128;24
trace1;64;128;55
trace1;64;128;52
trace1;64;128;44
trace1;64;128;35
trace1;64;128;4
trace1;64;128;29
trace1;64;128;52
trace1;64;128;59
trace1;64;128;19
trace1;64;128;24
trace1;64;128;10
trace1;64;128;6
trace1;64;128;36
trace1;64;128;13
trace1;64;128;6
trace1;64;128;47
trace1;64;128;38
trace1;64;128;63
trace1;64;128;47
trace1;64;128;40
trace1;64;128;26
trace1;64;128;60
trace1;64;128;58
trace1;64;128;56
trace1;64;128;52
trace1;64;128;14
trace1;64;128;34
trace1;64;128;55
trace1;64;128;58
trace1;64;128;41
trace1;64;128;46
trace1;64;128;19
trace1;64;128;46
trace1;64;128;22
trace1;64;128;42
trace1;64;128;43
trace1;64;128;48
trace1;64;128;58
trace1;64;128;48
trace1;64;128;61
trace1;64;128;14
trace1;64;128;40
trace1;64;128;44
trace1;64;128;50
trace1;64;128;37
trace1;64;128;3
trace1;64;128;46
trace1;64;128;11
trace1;64;128;36
trace1;64;128;17
trace1;64;128;24
trace1;64;128;44
trace1;64;128;24
trace1;64;128;31
trace1;64;128;26
trace1;64;128;9
trace1;64;128;50
trace1;64;128;46
trace1;64;128;61
trace1;64;128;60
trace1;64;128;49
trace1;64;128;29
trace1;64;128;48
trace1;64;128;8
trace1;64;128;12
trace1;64;128;34
trace1;64;128;1
trace1;64;128;35
trace1;64;128;59
trace1;64;128;22
trace1;64;128;27
trace1;64;128;24
trace1;64;128;27
trace1;64;128;9
trace1;64;128;46
trace1;64;128;19
trace1;64;128;56
trace1;64;128;46
trace1;64;128;30
trace1;64;128;37
trace1;64;128;4
trace1;64;128;7
trace1;64;128;39
trace1;64;128;64
trace1;64;128;9
trace1;64;128;16
trace1;64;128;8
trace1;64;128;10
trace1;64;128;32
trace1;64;128;44
trace1;64;128;23
trace1;64;128;26
trace1;64;128;31
trace1;64;128;58
