trace1;I a;I y;I n;I x
trace1;4;11;50;-1
trace1;4;6;50;-41
trace1;4;8;50;-28
trace1;4;6;50;-41
trace1;4;5;50;-46
trace1;4;8;50;-28
trace1;4;10;50;-11
trace1;4;8;50;-28
trace1;4;8;50;-28
trace1;4;6;50;-41
trace1;4;4;50;-50
trace1;4;6;50;-41
trace1;4;4;50;-50
trace1;4;6;50;-41
trace1;4;5;50;-46
trace1;4;7;50;-35
trace1;4;6;50;-41
trace1;4;7;50;-35
trace1;4;5;50;-46
trace1;4;6;50;-41
trace1;4;8;50;-28
trace1;4;10;50;-11
trace1;4;6;50;-41
trace1;4;8;50;-28
trace1;4;5;50;-46
trace1;4;6;50;-41
trace1;4;8;50;-28
trace1;4;5;50;-46
trace1;4;9;50;-20
trace1;4;10;50;-11
trace1;4;7;50;-35
trace1;4;4;50;-50
trace1;4;10;50;-11
trace1;4;5;50;-46
trace1;4;10;50;-11
trace1;4;5;50;-46
trace1;4;5;50;-46
trace1;4;9;50;-20
trace1;4;10;50;-11
trace1;4;4;50;-50
trace1;4;11;50;-1
trace1;4;5;50;-46
trace1;4;9;50;-20
trace1;4;11;50;-1
trace1;4;11;50;-1
trace1;4;8;50;-28
trace1;4;7;50;-35
trace1;4;6;50;-41
trace1;4;6;50;-41
trace1;4;4;50;-50
trace1;4;9;50;-20
trace1;4;8;50;-28
trace1;4;11;50;-1
trace1;4;6;50;-41
trace1;4;10;50;-11
trace1;4;4;50;-50
trace1;4;4;50;-50
trace1;4;4;50;-50
trace1;4;10;50;-11
trace1;4;11;50;-1
trace1;4;9;50;-20
trace1;4;10;50;-11
trace1;4;4;50;-50
trace1;4;6;50;-41
trace1;4;7;50;-35
trace1;4;8;50;-28
trace1;4;11;50;-1
trace1;4;10;50;-11
trace1;4;6;50;-41
trace1;4;6;50;-41
trace1;4;4;50;-50
trace1;4;8;50;-28
trace1;4;9;50;-20
trace1;4;11;50;-1
trace1;4;5;50;-46
trace1;4;7;50;-35
trace1;4;8;50;-28
trace1;4;4;50;-50
trace1;4;4;50;-50
trace1;4;10;50;-11
trace1;4;8;50;-28
trace1;4;6;50;-41
trace1;4;10;50;-11
trace1;4;4;50;-50
trace1;4;4;50;-50
trace1;4;10;50;-11
trace1;4;8;50;-28
trace1;4;6;50;-41
trace1;4;9;50;-20
trace1;4;7;50;-35
trace1;4;6;50;-41
trace1;4;4;50;-50
trace1;4;8;50;-28
trace1;4;10;50;-11
trace1;4;7;50;-35
trace1;4;11;50;-1
trace1;4;5;50;-46
trace1;4;6;50;-41
trace1;4;6;50;-41
trace1;4;10;50;-11
