trace1;I x;I lock;I y
trace1;53;1;53
trace1;38;0;37
trace1;39;0;38
trace1;90;0;89
trace1;61;0;60
trace1;47;0;46
trace1;90;0;89
trace1;68;0;67
trace1;96;0;95
trace1;81;0;80
trace1;59;0;58
trace1;29;0;28
trace1;84;0;83
trace1;54;1;54
trace1;17;1;17
trace1;71;0;70
trace1;53;0;52
trace1;28;0;27
trace1;95;0;94
trace1;42;0;41
trace1;11;1;11
trace1;78;0;77
trace1;99;1;99
trace1;13;1;13
trace1;31;1;31
trace1;48;1;48
trace1;86;1;86
trace1;77;1;77
trace1;87;1;87
trace1;28;1;28
trace1;55;0;54
trace1;42;0;41
trace1;14;1;14
trace1;13;1;13
trace1;76;1;76
trace1;76;1;76
trace1;41;1;41
trace1;24;0;23
trace1;16;0;15
trace1;40;0;39
trace1;2;1;2
trace1;81;0;80
trace1;96;1;96
trace1;36;0;35
trace1;3;0;2
trace1;56;0;55
trace1;69;1;69
trace1;75;0;74
trace1;90;0;89
trace1;91;0;90
trace1;88;0;87
trace1;26;0;25
trace1;63;0;62
trace1;89;0;88
trace1;66;1;66
trace1;7;1;7
trace1;0;1;0
trace1;0;0;-1
trace1;75;0;74
trace1;36;1;36
trace1;50;1;50
trace1;52;0;51
trace1;47;0;46
trace1;87;0;86
trace1;85;0;84
trace1;80;1;80
trace1;100;1;100
trace1;94;0;93
trace1;53;0;52
trace1;48;1;48
trace1;60;0;59
trace1;28;0;27
trace1;5;0;4
trace1;62;0;61
trace1;98;0;97
trace1;26;1;26
trace1;84;1;84
trace1;30;1;30
trace1;81;1;81
trace1;74;1;74
trace1;73;1;73
trace1;60;1;60
trace1;89;1;89
trace1;1;1;1
trace1;74;0;73
trace1;58;1;58
trace1;82;1;82
trace1;34;1;34
trace1;24;0;23
trace1;12;1;12
trace1;26;0;25
trace1;11;1;11
trace1;21;0;20
trace1;11;0;10
trace1;16;0;15
trace1;84;0;83
trace1;51;0;50
trace1;59;1;59
trace1;47;0;46
trace1;50;0;49
