trace1;I n;I i;I x;I y
trace1;100;86;168;90
trace1;100;36;40;68
trace1;100;87;134;127
trace1;100;90;125;145
trace1;100;67;115;86
trace1;100;57;74;97
trace1;100;13;22;17
trace1;100;92;178;98
trace1;100;9;14;13
trace1;100;76;138;90
trace1;100;9;12;15
trace1;100;13;24;15
trace1;100;28;49;35
trace1;100;40;73;47
trace1;100;90;145;125
trace1;100;81;144;99
trace1;100;77;89;142
trace1;100;48;53;91
trace1;100;93;147;132
trace1;100;24;28;44
trace1;100;0;0;0
trace1;100;16;21;27
trace1;100;31;41;52
trace1;100;85;126;129
trace1;100;65;120;75
trace1;100;36;42;66
trace1;100;24;29;43
trace1;100;86;124;134
trace1;100;84;135;117
trace1;100;79;82;155
trace1;100;28;40;44
trace1;100;40;61;59
trace1;100;35;66;39
trace1;100;90;175;95
trace1;100;79;144;93
trace1;100;56;72;96
trace1;100;21;31;32
trace1;100;54;91;71
trace1;100;91;110;163
trace1;100;85;98;157
trace1;100;82;93;153
trace1;100;15;15;30
trace1;100;82;116;130
trace1;100;6;6;12
trace1;100;55;92;73
trace1;100;74;117;105
trace1;100;67;104;97
trace1;100;47;55;86
trace1;100;16;17;31
trace1;100;67;97;104
trace1;100;96;142;146
trace1;100;60;79;101
trace1;100;71;77;136
trace1;100;46;68;70
trace1;100;98;111;183
trace1;100;36;41;67
trace1;100;17;21;30
trace1;100;27;45;36
trace1;100;54;88;74
trace1;100;20;36;24
trace1;100;45;55;80
trace1;100;33;60;39
trace1;100;75;78;147
trace1;100;30;56;34
trace1;100;6;6;12
trace1;100;71;117;96
trace1;100;7;11;10
trace1;100;36;66;42
trace1;100;98;137;157
trace1;100;44;58;74
trace1;100;17;28;23
trace1;100;15;27;18
trace1;100;63;96;93
trace1;100;24;34;38
trace1;100;60;78;102
trace1;100;88;161;103
trace1;100;4;4;8
trace1;100;9;12;15
trace1;100;43;74;55
trace1;100;12;15;21
trace1;100;26;29;49
trace1;100;2;3;3
trace1;100;4;6;6
trace1;100;68;77;127
trace1;100;85;100;155
trace1;100;66;131;67
trace1;100;79;86;151
trace1;100;73;94;125
trace1;100;58;61;113
trace1;100;13;21;18
trace1;100;25;28;47
trace1;100;0;0;0
trace1;100;5;8;7
trace1;100;92;101;175
trace1;100;46;70;68
trace1;100;78;125;109
trace1;100;86;116;142
trace1;100;30;54;36
trace1;100;52;77;79
trace1;100;53;101;58
