trace1;I n;I i;I j
trace1;122;111;6216
trace1;122;38;741
trace1;122;19;190
trace1;122;99;4950
trace1;122;89;4005
trace1;122;63;2016
trace1;122;40;820
trace1;122;70;2485
trace1;122;109;5995
trace1;122;52;1378
trace1;122;101;5151
trace1;122;96;4656
trace1;122;70;2485
trace1;122;48;1176
trace1;122;28;406
trace1;122;99;4950
trace1;122;65;2145
trace1;122;59;1770
trace1;122;15;120
trace1;122;85;3655
trace1;122;21;231
trace1;122;54;1485
trace1;122;74;2775
trace1;122;34;595
trace1;122;47;1128
trace1;122;121;7381
trace1;122;25;325
trace1;122;75;2850
trace1;122;23;276
trace1;122;25;325
trace1;122;39;780
trace1;122;66;2211
trace1;122;46;1081
trace1;122;119;7140
trace1;122;93;4371
trace1;122;55;1540
trace1;122;30;465
trace1;122;72;2628
trace1;122;2;3
trace1;122;21;231
trace1;122;65;2145
trace1;122;20;210
trace1;122;54;1485
trace1;122;96;4656
trace1;122;101;5151
trace1;122;4;10
trace1;122;13;91
trace1;122;104;5460
trace1;122;41;861
trace1;122;112;6328
trace1;122;56;1596
trace1;122;26;351
trace1;122;66;2211
trace1;122;31;496
trace1;122;37;703
trace1;122;30;465
trace1;122;36;666
trace1;122;46;1081
trace1;122;75;2850
trace1;122;7;28
trace1;122;91;4186
trace1;122;79;3160
trace1;122;82;3403
trace1;122;120;7260
trace1;122;54;1485
trace1;122;81;3321
trace1;122;91;4186
trace1;122;69;2415
trace1;122;78;3081
trace1;122;50;1275
trace1;122;53;1431
trace1;122;55;1540
trace1;122;71;2556
trace1;122;42;903
trace1;122;102;5253
trace1;122;100;5050
trace1;122;6;21
trace1;122;66;2211
trace1;122;94;4465
trace1;122;86;3741
trace1;122;66;2211
trace1;122;69;2415
trace1;122;80;3240
trace1;122;83;3486
trace1;122;80;3240
trace1;122;97;4753
trace1;122;113;6441
trace1;122;62;1953
trace1;122;15;120
trace1;122;46;1081
trace1;122;93;4371
trace1;122;42;903
trace1;122;5;15
trace1;122;106;5671
trace1;122;3;6
trace1;122;47;1128
trace1;122;37;703
trace1;122;42;903
trace1;122;60;1830
trace1;122;17;153
