trace1;I y;I x;I i;I j
trace1;1;0;0;0
trace1;1;78;51;51
trace1;1;87;0;0
trace1;1;70;34;34
trace1;1;44;28;28
trace1;1;23;14;14
trace1;1;13;3;3
trace1;1;31;22;22
trace1;1;82;43;43
trace1;1;18;10;10
trace1;1;37;0;0
trace1;1;87;12;12
trace1;1;80;43;43
trace1;1;36;34;34
trace1;1;82;13;13
trace1;1;24;17;17
trace1;1;6;1;1
trace1;1;0;0;0
trace1;1;5;3;3
trace1;1;85;71;71
trace1;1;72;25;25
trace1;1;46;27;27
trace1;1;88;40;40
trace1;1;22;11;11
trace1;1;12;2;2
trace1;1;80;6;6
trace1;1;69;32;32
trace1;1;83;83;83
trace1;1;80;16;16
trace1;1;83;36;36
trace1;1;15;11;11
trace1;1;69;16;16
trace1;1;11;9;9
trace1;1;26;3;3
trace1;1;84;9;9
trace1;1;78;62;62
trace1;1;78;17;17
trace1;1;79;10;10
trace1;1;65;34;34
trace1;1;93;21;21
trace1;1;91;42;42
trace1;1;9;0;0
trace1;1;81;60;60
trace1;1;83;11;11
trace1;1;44;8;8
trace1;1;43;42;42
trace1;1;78;18;18
trace1;1;29;10;10
trace1;1;45;33;33
trace1;1;90;13;13
trace1;1;54;54;54
trace1;1;91;59;59
trace1;1;85;54;54
trace1;1;54;50;50
trace1;1;2;0;0
trace1;1;46;2;2
trace1;1;1;1;1
trace1;1;12;8;8
trace1;1;47;12;12
trace1;1;26;2;2
trace1;1;56;45;45
trace1;1;83;72;72
trace1;1;38;37;37
trace1;1;12;12;12
trace1;1;94;46;46
trace1;1;19;13;13
trace1;1;66;61;61
trace1;1;84;20;20
trace1;1;96;42;42
trace1;1;10;4;4
trace1;1;98;66;66
trace1;1;95;21;21
trace1;1;44;7;7
trace1;1;87;86;86
trace1;1;82;34;34
trace1;1;3;2;2
trace1;1;59;51;51
trace1;1;49;5;5
trace1;1;95;61;61
trace1;1;81;60;60
trace1;1;14;14;14
trace1;1;2;0;0
trace1;1;99;17;17
trace1;1;60;51;51
trace1;1;37;29;29
trace1;1;83;51;51
trace1;1;71;58;58
trace1;1;33;6;6
trace1;1;62;9;9
trace1;1;40;24;24
trace1;1;53;30;30
trace1;1;67;53;53
trace1;1;57;51;51
trace1;1;50;26;26
trace1;1;99;10;10
trace1;1;32;12;12
trace1;1;66;45;45
trace1;1;48;31;31
trace1;1;97;32;32
trace1;1;63;33;33
