trace1;I x;I y;I i;I j
trace1;14;2;1;2
trace1;32;2;21;42
trace1;-20;2;0;0
trace1;80;2;21;42
trace1;-42;2;0;0
trace1;39;2;8;16
trace1;-23;2;0;0
trace1;17;2;0;0
trace1;-11;2;0;0
trace1;95;2;14;28
trace1;34;2;22;44
trace1;-28;2;0;0
trace1;1;2;0;0
trace1;-21;2;0;0
trace1;70;2;31;62
trace1;-20;2;0;0
trace1;-8;2;0;0
trace1;-50;2;0;0
trace1;39;2;32;64
trace1;-49;2;0;0
trace1;-18;2;0;0
trace1;-10;2;0;0
trace1;-18;2;0;0
trace1;-4;2;0;0
trace1;1;2;0;0
trace1;75;2;14;28
trace1;20;2;12;24
trace1;29;2;3;6
trace1;48;2;18;36
trace1;-39;2;0;0
