trace1;I b;I c;I a;I m;I k
trace1;36;-13;-45;36;0
trace1;19;1;-89;19;0
trace1;23;38;-26;23;11
trace1;6;20;-61;6;14
trace1;2;63;-71;2;32
trace1;54;93;1;54;77
trace1;52;-6;7;52;0
trace1;21;-18;-85;21;0
trace1;6;-8;-23;6;0
trace1;7;98;-27;7;49
trace1;41;-10;-66;41;0
trace1;56;49;-98;56;38
trace1;58;-10;-53;58;0
trace1;16;94;-69;16;48
trace1;59;-1;-33;59;0
trace1;60;25;-36;60;18
trace1;20;-15;-4;20;0
trace1;21;89;-66;21;27
trace1;0;74;-11;0;49
trace1;6;80;-30;6;18
trace1;18;92;-8;18;2
trace1;5;83;-63;5;15
trace1;52;97;-59;52;19
trace1;7;94;-63;7;41
trace1;34;52;-15;34;40
trace1;53;5;-35;53;0
trace1;36;7;-58;36;3
trace1;12;32;-8;12;25
trace1;13;89;-23;13;30
trace1;16;26;11;16;22
trace1;59;82;-84;59;27
trace1;57;85;-56;57;59
trace1;40;100;-66;40;76
trace1;3;88;-21;3;41
trace1;27;-1;-46;27;0
trace1;49;97;-41;49;22
trace1;42;34;-57;42;5
trace1;8;88;-22;8;10
trace1;35;-17;-28;35;0
trace1;40;-18;-68;40;0
trace1;21;-2;3;21;0
trace1;45;79;-58;45;14
trace1;5;32;-43;5;13
trace1;6;30;-58;6;22
trace1;15;1;-20;15;1
trace1;53;24;-100;53;11
trace1;9;41;-3;9;39
trace1;20;97;-21;20;90
trace1;13;-18;-6;13;0
trace1;16;60;-53;16;19
trace1;33;42;-64;33;40
trace1;42;-11;-94;42;0
trace1;39;-19;-17;39;0
trace1;40;90;-33;40;44
trace1;20;6;-17;20;3
trace1;50;15;-28;50;7
trace1;36;-5;-47;36;0
trace1;43;46;-82;43;22
trace1;37;99;-89;37;12
trace1;53;96;-17;53;61
trace1;41;34;-26;41;10
trace1;31;89;-49;31;7
trace1;13;89;-9;13;9
trace1;36;-13;8;36;0
trace1;12;63;-65;12;5
trace1;58;-17;-12;58;0
trace1;26;-4;-98;26;0
trace1;53;6;-39;53;0
trace1;4;30;-68;4;0
trace1;1;68;-13;1;29
trace1;39;69;-87;39;60
trace1;7;20;-72;7;6
trace1;44;48;-44;44;21
trace1;14;63;-67;14;17
trace1;26;-14;-96;26;0
trace1;34;37;-74;34;2
trace1;8;32;-25;8;3
trace1;42;44;30;42;39
trace1;11;41;11;11;17
trace1;4;1;-48;4;0
trace1;52;75;21;52;48
trace1;6;30;-20;6;27
trace1;21;45;-24;21;34
trace1;51;-5;7;51;0
trace1;8;8;-30;8;3
trace1;54;30;-18;54;22
trace1;54;6;-34;54;2
trace1;17;-6;-40;17;0
trace1;30;8;-67;30;3
trace1;14;32;-68;14;17
trace1;5;50;-57;5;8
trace1;51;-16;-38;51;0
trace1;3;-18;-83;3;0
trace1;58;-12;-86;58;0
trace1;54;65;-1;54;65
trace1;30;37;-17;30;1
trace1;16;-12;-72;16;0
trace1;45;-13;-15;45;0
trace1;1;21;-69;1;1
trace1;25;-10;-63;25;0
