trace1;I a;I b;I c;I m;I k
trace1;-39;-46;36;-39;6
trace1;14;12;57;14;48
trace1;34;22;30;34;2
trace1;45;-15;66;45;7
trace1;37;13;52;37;13
trace1;-46;13;98;13;90
trace1;-33;34;29;34;28
trace1;-18;7;86;7;67
trace1;7;46;78;46;48
trace1;1;31;51;31;13
trace1;-24;5;95;5;13
trace1;-48;29;54;29;53
trace1;14;23;6;23;6
trace1;29;-2;21;29;16
trace1;-29;-5;85;-5;63
trace1;36;-24;41;36;15
trace1;19;-21;23;19;1
trace1;50;-2;4;50;3
trace1;-30;-27;73;-27;10
trace1;40;44;40;44;31
trace1;-26;16;62;16;36
trace1;-34;-32;85;-32;11
trace1;14;37;43;37;7
trace1;10;-14;72;10;47
trace1;-21;37;52;37;28
trace1;-42;9;53;9;15
trace1;-44;-8;1;-8;1
trace1;-30;-28;58;-28;36
trace1;-31;-33;46;-31;19
trace1;-33;-39;7;-33;7
trace1;18;-41;93;18;23
trace1;14;-33;66;14;48
trace1;-1;11;25;11;25
trace1;2;26;24;26;10
trace1;35;42;68;42;55
trace1;28;40;87;40;59
trace1;-20;16;91;16;1
trace1;3;-33;44;3;12
trace1;-42;-21;77;-21;45
trace1;36;30;77;36;8
trace1;9;15;63;15;22
trace1;-30;-30;24;-30;15
trace1;25;-14;98;25;35
trace1;-4;-42;9;-4;8
trace1;16;-13;63;16;58
trace1;1;-25;38;1;16
trace1;-47;-38;64;-38;41
trace1;-40;-18;49;-18;26
trace1;50;32;68;50;16
trace1;44;-13;72;44;70
trace1;32;6;21;32;4
trace1;-9;-19;73;-9;57
trace1;-14;-18;23;-14;4
trace1;-16;6;94;6;35
trace1;1;32;61;32;10
trace1;2;-8;92;2;88
trace1;48;10;13;48;2
trace1;-23;43;18;43;4
trace1;-18;40;53;40;48
trace1;35;-47;54;35;39
trace1;21;38;20;38;7
trace1;-39;-8;51;-8;9
trace1;-50;44;35;44;10
trace1;-26;9;38;9;8
trace1;-16;-7;67;-7;55
trace1;39;-47;46;39;6
trace1;-43;15;20;15;15
trace1;8;35;40;35;22
trace1;33;-8;55;33;10
trace1;-12;-15;71;-12;53
trace1;-49;37;25;37;20
trace1;38;-30;59;38;29
trace1;-26;8;28;8;11
trace1;3;14;16;14;7
trace1;29;15;6;29;1
trace1;-42;48;30;48;14
trace1;0;-36;24;0;6
trace1;47;-30;90;47;42
trace1;-19;20;48;20;29
trace1;-47;5;6;5;6
trace1;-27;24;73;24;11
trace1;-44;-4;7;-4;3
trace1;50;-18;65;50;36
trace1;19;-36;13;19;8
trace1;-18;44;9;44;4
trace1;41;-1;76;41;37
trace1;-2;1;31;1;27
trace1;49;-32;53;49;52
trace1;-23;34;52;34;20
trace1;-6;-7;32;-6;6
trace1;-28;7;76;7;31
trace1;-13;17;91;17;70
trace1;40;-19;26;40;4
trace1;5;-22;44;5;35
trace1;-37;-29;77;-29;59
trace1;-9;37;96;37;85
trace1;-38;-5;55;-5;13
trace1;-40;39;54;39;12
trace1;-47;15;93;15;5
trace1;50;13;88;50;44
