trace1;I size;I sn;I i
trace1;145;44;45
trace1;139;99;100
trace1;129;81;82
trace1;51;29;30
trace1;2;1;2
trace1;45;45;46
trace1;44;21;22
trace1;13;10;11
trace1;90;37;38
trace1;21;10;11
trace1;119;100;101
trace1;175;84;85
trace1;132;17;18
trace1;184;96;97
trace1;48;16;17
trace1;166;28;29
trace1;156;85;86
trace1;47;5;6
trace1;187;16;17
trace1;31;1;2
trace1;33;30;31
trace1;181;17;18
trace1;147;72;73
trace1;187;48;49
trace1;155;61;62
trace1;74;28;29
trace1;155;144;145
trace1;92;2;3
trace1;28;18;19
trace1;173;168;169
trace1;19;15;16
trace1;11;6;7
trace1;108;37;38
trace1;97;55;56
trace1;100;91;92
trace1;179;33;34
trace1;49;8;9
trace1;49;37;38
trace1;1;1;2
trace1;132;66;67
trace1;37;21;22
trace1;92;30;31
trace1;82;78;79
trace1;87;19;20
trace1;59;3;4
trace1;92;46;47
trace1;147;9;10
trace1;72;45;46
trace1;198;142;143
trace1;19;5;6
trace1;54;7;8
trace1;55;42;43
trace1;177;102;103
trace1;11;5;6
trace1;57;17;18
trace1;131;49;50
trace1;179;68;69
trace1;96;31;32
trace1;157;63;64
trace1;87;61;62
trace1;155;9;10
trace1;30;29;30
trace1;171;17;18
trace1;141;66;67
trace1;67;8;9
trace1;53;53;54
trace1;186;53;54
trace1;16;3;4
trace1;186;144;145
trace1;55;37;38
trace1;126;55;56
trace1;9;2;3
trace1;63;30;31
trace1;67;43;44
trace1;170;91;92
trace1;114;102;103
trace1;1;1;2
trace1;46;25;26
trace1;27;22;23
trace1;93;75;76
trace1;122;40;41
trace1;159;105;106
trace1;64;26;27
trace1;40;12;13
trace1;60;8;9
trace1;60;14;15
trace1;108;23;24
trace1;77;75;76
trace1;171;153;154
trace1;49;32;33
trace1;192;47;48
trace1;133;89;90
trace1;177;117;118
trace1;29;22;23
trace1;148;14;15
trace1;143;83;84
trace1;127;24;25
trace1;199;77;78
trace1;124;25;26
trace1;194;111;112
