trace1;I x;I sn
trace1;834;834
trace1;122;122
trace1;863;863
trace1;690;690
trace1;660;660
trace1;611;611
trace1;293;293
trace1;508;508
trace1;534;534
trace1;879;879
trace1;834;834
trace1;758;758
trace1;852;852
trace1;152;152
trace1;167;167
trace1;11;11
trace1;207;207
trace1;236;236
trace1;768;768
trace1;754;754
trace1;825;825
trace1;448;448
trace1;24;24
trace1;460;460
trace1;584;584
trace1;882;882
trace1;754;754
trace1;469;469
trace1;796;796
trace1;669;669
trace1;506;506
trace1;526;526
trace1;225;225
trace1;701;701
trace1;356;356
trace1;408;408
trace1;425;425
trace1;187;187
trace1;726;726
trace1;478;478
trace1;899;899
trace1;649;649
trace1;700;700
trace1;158;158
trace1;244;244
trace1;543;543
trace1;643;643
trace1;507;507
trace1;827;827
trace1;149;149
trace1;910;910
trace1;98;98
trace1;864;864
trace1;369;369
trace1;280;280
trace1;773;773
trace1;779;779
trace1;906;906
trace1;790;790
trace1;149;149
trace1;634;634
trace1;840;840
trace1;422;422
trace1;657;657
trace1;411;411
trace1;198;198
trace1;499;499
trace1;802;802
trace1;542;542
trace1;85;85
trace1;878;878
trace1;891;891
trace1;199;199
trace1;36;36
trace1;791;791
trace1;179;179
trace1;100;100
trace1;881;881
trace1;702;702
trace1;890;890
trace1;549;549
trace1;160;160
trace1;160;160
trace1;223;223
trace1;741;741
trace1;429;429
trace1;414;414
trace1;527;527
trace1;297;297
trace1;717;717
trace1;816;816
trace1;81;81
trace1;8;8
trace1;572;572
trace1;29;29
trace1;882;882
trace1;212;212
trace1;742;742
trace1;701;701
trace1;309;309
