trace1;I i;I sn
trace1;7;6
trace1;0;-1
trace1;0;-1
trace1;0;-1
trace1;0;-1
trace1;0;-1
trace1;5;4
trace1;6;5
trace1;4;3
trace1;4;3
trace1;7;6
trace1;6;5
trace1;0;-1
trace1;0;-1
trace1;8;7
trace1;6;5
trace1;9;8
trace1;8;7
trace1;6;5
trace1;1;0
trace1;0;-1
trace1;2;1
trace1;4;3
trace1;5;4
trace1;7;6
trace1;3;2
trace1;0;-1
trace1;3;2
trace1;8;7
trace1;1;0
trace1;1;0
trace1;4;3
trace1;3;2
trace1;2;1
trace1;6;5
trace1;9;8
trace1;1;0
trace1;3;2
trace1;1;0
trace1;9;8
trace1;2;1
trace1;2;1
trace1;6;5
trace1;1;0
trace1;3;2
trace1;9;8
trace1;3;2
trace1;0;-1
trace1;1;0
trace1;1;0
trace1;4;3
trace1;7;6
trace1;9;8
trace1;7;6
trace1;0;-1
trace1;3;2
trace1;2;1
trace1;2;1
trace1;9;8
trace1;5;4
trace1;0;-1
trace1;9;8
trace1;9;8
trace1;2;1
trace1;7;6
trace1;9;8
trace1;3;2
trace1;6;5
trace1;8;7
trace1;8;7
trace1;7;6
trace1;5;4
trace1;3;2
trace1;5;4
trace1;1;0
trace1;1;0
trace1;6;5
trace1;3;2
trace1;9;8
trace1;1;0
trace1;1;0
trace1;7;6
trace1;0;-1
trace1;0;-1
trace1;0;-1
trace1;7;6
trace1;4;3
trace1;2;1
trace1;3;2
trace1;8;7
trace1;0;-1
trace1;8;7
trace1;6;5
trace1;9;8
trace1;1;0
trace1;6;5
trace1;6;5
trace1;2;1
trace1;5;4
trace1;1;0
