trace1;I k;I j;I x;I y
trace1;73;-97;14;-156
trace1;46;-66;2;-110
trace1;2;-64;1;-65
trace1;74;69;4;-1
trace1;97;45;11;-41
trace1;8;6;2;0
trace1;15;-57;6;-66
trace1;38;-19;31;-26
trace1;45;30;42;27
trace1;98;-37;57;-78
trace1;13;-27;6;-34
trace1;54;-100;26;-128
trace1;88;65;27;4
trace1;74;2;8;-64
trace1;86;45;57;16
trace1;6;83;6;83
trace1;71;6;39;-26
trace1;33;-42;8;-67
trace1;18;-90;6;-102
trace1;23;-43;5;-61
trace1;42;-58;15;-85
trace1;33;35;1;3
trace1;36;-100;28;-108
trace1;75;-64;51;-88
trace1;77;-9;12;-74
trace1;21;-29;5;-45
trace1;10;-9;3;-16
trace1;59;94;18;53
trace1;3;76;2;75
trace1;27;-55;27;-55
trace1;8;69;2;63
trace1;76;20;35;-21
trace1;71;52;11;-8
trace1;52;-71;36;-87
trace1;75;-81;74;-82
trace1;3;-98;2;-99
trace1;31;-41;29;-43
trace1;64;9;26;-29
trace1;26;58;8;40
trace1;63;65;5;7
trace1;12;13;1;2
trace1;97;-34;32;-99
trace1;39;92;27;80
trace1;88;-54;0;-142
trace1;16;37;6;27
trace1;86;77;47;38
trace1;34;-76;12;-98
trace1;99;-51;3;-147
trace1;99;-20;21;-98
trace1;6;-72;1;-77
trace1;64;73;32;41
trace1;27;46;15;34
trace1;60;-56;0;-116
trace1;94;-29;30;-93
trace1;87;62;60;35
trace1;9;47;7;45
trace1;84;-31;78;-37
trace1;61;24;53;16
trace1;41;58;15;32
trace1;76;27;16;-33
trace1;74;32;30;-12
trace1;4;20;4;20
trace1;16;50;14;48
trace1;36;25;17;6
trace1;43;-16;14;-45
trace1;99;-45;69;-75
trace1;82;2;31;-49
trace1;66;21;50;5
trace1;56;95;37;76
trace1;26;-54;12;-68
trace1;55;-51;6;-100
trace1;89;-27;36;-80
trace1;43;-70;34;-79
trace1;88;-46;24;-110
trace1;40;-33;30;-43
trace1;86;71;64;49
trace1;97;-41;7;-131
trace1;7;-21;0;-28
trace1;0;-7;0;-7
trace1;26;78;1;53
trace1;87;10;11;-66
trace1;26;6;23;3
trace1;75;-9;54;-30
trace1;83;31;53;1
trace1;24;-54;9;-69
trace1;43;-40;28;-55
trace1;94;-93;55;-132
trace1;8;-93;4;-97
trace1;15;-9;8;-16
trace1;64;-27;54;-37
trace1;37;29;0;-8
trace1;43;81;40;78
trace1;49;45;49;45
trace1;97;-10;48;-59
trace1;11;-57;8;-60
trace1;36;18;31;13
trace1;78;-24;52;-50
trace1;42;88;8;54
trace1;36;-76;20;-92
trace1;80;-28;20;-88
