trace1;I k;I y;I x
trace1;5;957;32
trace1;7;957;128
trace1;8;957;256
trace1;1;957;2
trace1;4;957;16
trace1;4;957;16
trace1;7;957;128
trace1;10;957;1024
trace1;6;957;64
trace1;10;957;1024
trace1;10;957;1024
trace1;9;957;512
trace1;6;957;64
trace1;9;957;512
trace1;9;957;512
trace1;5;957;32
trace1;6;957;64
trace1;10;957;1024
trace1;7;957;128
trace1;4;957;16
trace1;4;957;16
trace1;3;957;8
trace1;10;957;1024
trace1;2;957;4
trace1;9;957;512
trace1;1;957;2
trace1;7;957;128
trace1;1;957;2
trace1;1;957;2
trace1;2;957;4
trace1;1;957;2
trace1;10;957;1024
trace1;6;957;64
trace1;4;957;16
trace1;4;957;16
trace1;10;957;1024
trace1;8;957;256
trace1;4;957;16
trace1;10;957;1024
trace1;2;957;4
trace1;1;957;2
trace1;1;957;2
trace1;10;957;1024
trace1;9;957;512
trace1;5;957;32
trace1;4;957;16
trace1;7;957;128
trace1;5;957;32
trace1;3;957;8
trace1;7;957;128
trace1;9;957;512
trace1;4;957;16
trace1;3;957;8
trace1;3;957;8
trace1;9;957;512
trace1;3;957;8
trace1;9;957;512
trace1;7;957;128
trace1;2;957;4
trace1;9;957;512
trace1;9;957;512
trace1;5;957;32
trace1;7;957;128
trace1;2;957;4
trace1;9;957;512
trace1;5;957;32
trace1;8;957;256
trace1;2;957;4
trace1;4;957;16
trace1;6;957;64
trace1;10;957;1024
trace1;2;957;4
trace1;6;957;64
trace1;1;957;2
trace1;2;957;4
trace1;7;957;128
trace1;2;957;4
trace1;8;957;256
trace1;4;957;16
trace1;3;957;8
trace1;5;957;32
trace1;8;957;256
trace1;6;957;64
trace1;9;957;512
trace1;1;957;2
trace1;2;957;4
trace1;8;957;256
trace1;4;957;16
trace1;1;957;2
trace1;1;957;2
trace1;8;957;256
trace1;3;957;8
trace1;5;957;32
trace1;10;957;1024
trace1;1;957;2
trace1;1;957;2
trace1;7;957;128
trace1;2;957;4
trace1;2;957;4
trace1;8;957;256
