trace1;I z;I b;I x1;I x2;I x3
trace1;89;51;0;88;50
trace1;59;1;1;59;1
trace1;25;55;1;25;55
trace1;98;25;1;98;25
trace1;6;24;0;5;23
trace1;-5;-11;1;-5;-11
trace1;33;57;0;32;56
trace1;-4;17;0;-5;16
trace1;42;10;0;41;9
trace1;-1;62;0;-2;61
trace1;29;32;0;28;31
trace1;65;51;1;65;51
trace1;19;97;1;19;97
trace1;26;53;1;26;53
trace1;79;22;1;79;22
trace1;1;87;1;1;87
trace1;53;3;1;53;3
trace1;-18;6;0;-19;5
trace1;100;80;0;99;79
trace1;76;70;1;76;70
trace1;94;100;0;93;99
trace1;33;1;1;33;1
trace1;-16;77;1;-16;77
trace1;14;97;0;13;96
trace1;-9;30;0;-10;29
trace1;20;67;0;19;66
trace1;19;44;0;18;43
trace1;55;90;1;55;90
trace1;48;19;0;47;18
trace1;46;92;0;45;91
trace1;47;28;1;47;28
trace1;16;-16;0;15;-17
trace1;57;20;0;56;19
trace1;8;12;0;7;11
trace1;54;74;1;54;74
trace1;51;31;0;50;30
trace1;10;88;1;10;88
trace1;28;82;1;28;82
trace1;-16;49;1;-16;49
trace1;79;20;0;78;19
trace1;83;55;0;82;54
trace1;-12;59;0;-13;58
trace1;26;93;0;25;92
trace1;15;67;1;15;67
trace1;15;15;0;14;14
trace1;27;19;0;26;18
trace1;23;68;0;22;67
trace1;43;-13;1;43;-13
trace1;-17;35;0;-18;34
trace1;6;64;1;6;64
trace1;19;20;1;19;20
trace1;70;52;0;69;51
trace1;9;96;1;9;96
trace1;66;87;0;65;86
trace1;-5;19;1;-5;19
trace1;41;92;1;41;92
trace1;46;60;0;45;59
trace1;76;-10;1;76;-10
trace1;-2;57;0;-3;56
trace1;-7;58;0;-8;57
trace1;45;59;1;45;59
trace1;49;76;1;49;76
trace1;80;-2;1;80;-2
trace1;79;55;0;78;54
trace1;21;88;0;20;87
trace1;2;73;1;2;73
trace1;41;-11;1;41;-11
trace1;25;100;1;25;100
trace1;4;-7;1;4;-7
trace1;75;34;1;75;34
trace1;67;61;1;67;61
trace1;73;-16;1;73;-16
trace1;85;37;0;84;36
trace1;-10;68;1;-10;68
trace1;99;31;1;99;31
trace1;19;87;0;18;86
trace1;74;45;1;74;45
trace1;82;17;0;81;16
trace1;7;-3;1;7;-3
trace1;23;75;0;22;74
trace1;18;86;1;18;86
trace1;-2;47;1;-2;47
trace1;56;-6;1;56;-6
trace1;62;58;0;61;57
trace1;53;90;1;53;90
trace1;45;48;0;44;47
trace1;66;-5;0;65;-6
trace1;59;100;1;59;100
trace1;24;34;0;23;33
trace1;75;-3;0;74;-4
trace1;22;47;0;21;46
trace1;50;78;1;50;78
trace1;3;91;1;3;91
trace1;76;34;0;75;33
trace1;52;71;1;52;71
trace1;62;4;1;62;4
trace1;90;44;1;90;44
trace1;2;83;1;2;83
trace1;28;30;0;27;29
trace1;-8;3;0;-9;2
