trace1;I c;I k;I t;I j;I i
trace1;56;8;8;4080;4088
trace1;56;9;8;8176;8184
trace1;56;4;8;240;248
trace1;51;7;3;762;765
trace1;54;6;6;756;762
trace1;54;3;6;84;90
trace1;50;3;2;28;30
trace1;52;3;4;56;60
trace1;49;2;1;6;7
trace1;50;3;2;28;30
trace1;56;8;8;4080;4088
trace1;56;1;8;16;24
trace1;53;2;5;30;35
trace1;50;8;2;1020;1022
trace1;53;6;5;630;635
trace1;53;2;5;30;35
trace1;50;9;2;2044;2046
trace1;51;5;3;186;189
trace1;53;10;5;10230;10235
trace1;54;2;6;36;42
trace1;49;10;1;2046;2047
trace1;55;8;7;3570;3577
trace1;50;6;2;252;254
trace1;56;8;8;4080;4088
trace1;50;1;2;4;6
trace1;54;3;6;84;90
trace1;52;4;4;120;124
trace1;54;7;6;1524;1530
trace1;51;5;3;186;189
trace1;50;0;2;0;2
trace1;55;7;7;1778;1785
trace1;50;0;2;0;2
trace1;49;9;1;1022;1023
trace1;54;2;6;36;42
trace1;55;7;7;1778;1785
trace1;56;0;8;0;8
trace1;52;10;4;8184;8188
trace1;53;7;5;1270;1275
trace1;50;5;2;124;126
trace1;56;10;8;16368;16376
trace1;54;9;6;6132;6138
trace1;52;9;4;4088;4092
trace1;49;2;1;6;7
trace1;52;6;4;504;508
trace1;49;6;1;126;127
trace1;51;2;3;18;21
trace1;53;3;5;70;75
trace1;54;9;6;6132;6138
trace1;53;4;5;150;155
trace1;51;4;3;90;93
