trace1;            I seqID;              I pan;             I flag;               I t1;               I t2
trace1;                  0;                  0;                  1;         7.2848E+11;       728480463493
trace1;                  0;                  0;                  1;         7.2848E+11;       728480463235
trace1;                  0;                  0;                  1;         7.2848E+11;       728480462804
trace1;                  0;                  0;                  1;         7.2848E+11;       728480463013
trace1;                  1;                  0;                  1;        7.59054E+11;       759053775951
trace1;                  1;                  0;                  1;        7.59054E+11;       759053775656
trace1;                  1;                  0;                  1;        7.59054E+11;       759053775204
trace1;                  1;                  0;                  1;        7.59054E+11;       759053775374
trace1;                  2;                  0;                  1;        7.73513E+11;       773512892482
trace1;                  2;                  0;                  1;        7.73513E+11;       773512891727
trace1;                  3;                  0;                  1;        7.94137E+11;       794136559076
trace1;                  2;                  0;                  1;        7.73513E+11;       773512891902
trace1;                  4;                  0;                  1;        8.09604E+11;       809603984772
trace1;                  2;                  0;                  1;        7.73513E+11;       773512892177
trace1;                  3;                  0;                  1;        7.94137E+11;       794136558778
trace1;                  4;                  0;                  1;        8.09604E+11;       809603984489
trace1;                  5;                  0;                  1;        8.19914E+11;       819914078159
trace1;                  5;                  0;                  1;        8.19914E+11;       819914077881
trace1;                  3;                  0;                  1;        7.94137E+11;       794136558338
trace1;                  4;                  0;                  1;        8.09604E+11;       809603984067
trace1;                  5;                  0;                  1;        8.19914E+11;       819914077479
trace1;                  4;                  0;                  1;        8.09604E+11;       809603984252
trace1;                  5;                  0;                  1;        8.19914E+11;       819914077648
trace1;                  6;                  0;                  1;        8.51885E+11;       851884576636
trace1;                  6;                  0;                  1;        8.51885E+11;       851884576216
trace1;                  6;                  0;                  1;        8.51885E+11;       851884576320
trace1;                  7;                  0;                  1;        8.82659E+11;       882658880017
trace1;                  8;                  0;                  1;        8.97254E+11;       897254260041
trace1;                  7;                  0;                  1;        8.82659E+11;       882658880142
trace1;                  7;                  0;                  1;        8.82659E+11;       882658880409
trace1;                  8;                  0;                  1;        8.97254E+11;       897254260185
trace1;                  8;                  0;                  1;        8.97254E+11;       897254260486
trace1;                  9;                  0;                  1;        9.12724E+11;       912724488280
trace1;                  9;                  0;                  1;        9.12724E+11;       912724488038
trace1;                  9;                  0;                  1;        9.12724E+11;       912724487605
trace1;                  9;                  0;                  1;        9.12724E+11;       912724487723
trace1;                 10;                  0;                  1;        9.44422E+11;       944421880011
trace1;                 10;                  0;                  1;        9.44422E+11;       944421880312
trace1;                 10;                  0;                  1;        9.44422E+11;       944421879895
trace1;                 11;                  0;                  1;        9.75477E+11;       975477482195
trace1;                 11;                  0;                  1;        9.75477E+11;       975477481791
trace1;                 12;                  0;                  1;        1.00593E+12;      1005932754907
trace1;                 12;                  0;                  1;        1.00593E+12;      1005932754260
trace1;                 12;                  0;                  1;        1.00593E+12;      1005932754381
trace1;                 12;                  0;                  1;        1.00593E+12;      1005932754668
trace1;                 13;                  0;                  1;        1.03699E+12;      1036987563020
trace1;                 13;                  0;                  1;        1.03699E+12;      1036987563457
trace1;                 13;                  0;                  1;        1.03699E+12;      1036987563162
trace1;                 14;                  0;                  1;        1.06744E+12;      1067440554270
trace1;                 14;                  0;                  1;        1.06744E+12;      1067440553726
trace1;                 14;                  0;                  1;        1.06744E+12;      1067440554022
trace1;                 14;                  0;                  1;        1.06744E+12;      1067440553618
trace1;                 15;                  0;                  1;        1.09942E+12;      1099419460081
trace1;                 15;                  0;                  1;        9.22337E+18;9223372036854770000
trace1;                 15;                  0;                  1;        9.22337E+18;9223372036854770000
trace1;                 15;                  0;                  1;        9.22337E+18;9223372036854770000
trace1;                 16;                  0;                  1;        60107040940;        60107040940
trace1;                 16;                  0;                  1;        60107040387;        60107040387
trace1;                 16;                  0;                  1;        60107040666;        60107040666
trace1;                 16;                  0;                  1;        60107040230;        60107040230
trace1;                 17;                  0;                  1;        1.23367E+11;       123367151575
trace1;                 17;                  0;                  1;        1.23367E+11;       123367150931
trace1;                 17;                  0;                  1;        1.23367E+11;       123367151318
trace1;                 18;                  0;                  1;        1.38057E+11;       138057139857
trace1;                 18;                  0;                  1;        1.38057E+11;       138057139598
trace1;                 18;                  0;                  1;        1.38057E+11;       138057139216
trace1;                 17;                  0;                  1;        1.23367E+11;       123367151041
trace1;                 18;                  0;                  1;        1.38057E+11;       138057139309
trace1;                 19;                  0;                  1;        1.68528E+11;       168528186496
