trace1;I seqID;I pan;I flag;I t1;I t2
trace1;0;0;1;728480000000.0;728480463493
trace1;0;0;1;728480000000.0;728480463235
trace1;0;0;1;728480000000.0;728480462804
trace1;0;0;1;728480000000.0;728480463013
trace1;1;0;1;759054000000.0;759053775951
trace1;1;0;1;759054000000.0;759053775656
trace1;1;0;1;759054000000.0;759053775204
trace1;1;0;1;759054000000.0;759053775374
trace1;2;0;1;773513000000.0;773512892482
trace1;2;0;1;773513000000.0;773512891727
trace1;3;0;1;794137000000.0;794136559076
trace1;2;0;1;773513000000.0;773512891902
trace1;4;0;1;809604000000.0;809603984772
trace1;2;0;1;773513000000.0;773512892177
trace1;3;0;1;794137000000.0;794136558778
trace1;4;0;1;809604000000.0;809603984489
trace1;5;0;1;819914000000.0;819914078159
trace1;5;0;1;819914000000.0;819914077881
trace1;3;0;1;794137000000.0;794136558338
trace1;4;0;1;809604000000.0;809603984067
trace1;5;0;1;819914000000.0;819914077479
trace1;4;0;1;809604000000.0;809603984252
trace1;5;0;1;819914000000.0;819914077648
trace1;6;0;1;851885000000.0;851884576636
trace1;6;0;1;851885000000.0;851884576216
trace1;6;0;1;851885000000.0;851884576320
trace1;7;0;1;882659000000.0;882658880017
trace1;8;0;1;897254000000.0;897254260041
trace1;7;0;1;882659000000.0;882658880142
trace1;7;0;1;882659000000.0;882658880409
trace1;8;0;1;897254000000.0;897254260185
trace1;8;0;1;897254000000.0;897254260486
trace1;9;0;1;912724000000.0;912724488280
trace1;9;0;1;912724000000.0;912724488038
trace1;9;0;1;912724000000.0;912724487605
trace1;9;0;1;912724000000.0;912724487723
trace1;10;0;1;944422000000.0;944421880011
trace1;10;0;1;944422000000.0;944421880312
trace1;10;0;1;944422000000.0;944421879895
trace1;11;0;1;975477000000.0;975477482195
trace1;11;0;1;975477000000.0;975477481791
trace1;12;0;1;1005930000000.0;1005932754907
trace1;12;0;1;1005930000000.0;1005932754260
trace1;12;0;1;1005930000000.0;1005932754381
trace1;12;0;1;1005930000000.0;1005932754668
trace1;13;0;1;1036990000000.0;1036987563020
trace1;13;0;1;1036990000000.0;1036987563457
trace1;13;0;1;1036990000000.0;1036987563162
trace1;14;0;1;1067440000000.0;1067440554270
trace1;14;0;1;1067440000000.0;1067440553726
trace1;14;0;1;1067440000000.0;1067440554022
trace1;14;0;1;1067440000000.0;1067440553618
trace1;15;0;1;1099420000000.0;1099419460081
trace1;15;0;1;9.22337e+18;9223372036854770000
trace1;15;0;1;9.22337e+18;9223372036854770000
trace1;15;0;1;9.22337e+18;9223372036854770000
trace1;16;0;1;60107040940.0;60107040940
trace1;16;0;1;60107040387.0;60107040387
trace1;16;0;1;60107040666.0;60107040666
trace1;16;0;1;60107040230.0;60107040230
trace1;17;0;1;123367000000.0;123367151575
trace1;17;0;1;123367000000.0;123367150931
trace1;17;0;1;123367000000.0;123367151318
trace1;18;0;1;138057000000.0;138057139857
trace1;18;0;1;138057000000.0;138057139598
trace1;18;0;1;138057000000.0;138057139216
trace1;17;0;1;123367000000.0;123367151041
trace1;18;0;1;138057000000.0;138057139309
trace1;19;0;1;168528000000.0;168528186496
trace1;19;0;1;168528000000.0;168528185956
trace1;19;0;1;168528000000.0;168528185832
trace1;19;0;1;168528000000.0;168528186227
trace1;20;0;1;199899000000.0;199899443109
trace1;20;0;1;199899000000.0;199899442850
trace1;20;0;1;199899000000.0;199899442540
trace1;20;0;1;199899000000.0;199899442397
trace1;21;0;1;231597000000.0;231596588734
trace1;21;0;1;231597000000.0;231596588493
trace1;21;0;1;231597000000.0;231596588074
trace1;21;0;1;231597000000.0;231596588207
trace1;22;0;1;262055000000.0;262054847185
trace1;22;0;1;262055000000.0;262054847749
trace1;22;0;1;262055000000.0;262054847471
trace1;22;0;1;262055000000.0;262054847081
trace1;23;0;1;282422000000.0;282421656015
trace1;23;0;1;282422000000.0;282421655353
trace1;23;0;1;282422000000.0;282421655488
trace1;23;0;1;282422000000.0;282421655764
trace1;24;0;1;313798000000.0;313798122837
trace1;24;0;1;313798000000.0;313798123244
trace1;24;0;1;313798000000.0;313798122942
trace1;25;0;1;344573000000.0;344572994327
trace1;25;0;1;344573000000.0;344572993769
trace1;25;0;1;344573000000.0;344572993666
trace1;25;0;1;344573000000.0;344572994092
trace1;26;0;1;375226000000.0;375225554280
trace1;26;0;1;375226000000.0;375225554006
trace1;26;0;1;375226000000.0;375225553728
trace1;26;0;1;375226000000.0;375225553618
trace1;27;0;1;406294000000.0;406294128183
trace1;27;0;1;406294000000.0;406294127625
trace1;27;0;1;406294000000.0;406294127902
trace1;27;0;1;406294000000.0;406294127501
trace1;28;0;1;438282000000.0;438282210444
trace1;28;0;1;438282000000.0;438282209785
trace1;28;0;1;438282000000.0;438282210195
trace1;28;0;1;438282000000.0;438282209915
trace1;29;0;1;470272000000.0;470271770608
trace1;29;0;1;470272000000.0;470271769971
trace1;29;0;1;470272000000.0;470271770046
trace1;29;0;1;470272000000.0;470271770355
trace1;30;0;1;498979000000.0;498979420798
trace1;30;0;1;498979000000.0;498979420247
trace1;30;0;1;498979000000.0;498979420544
trace1;30;0;1;498979000000.0;498979420199
trace1;31;0;1;519598000000.0;519598191114
trace1;31;0;1;519598000000.0;519598190612
trace1;31;0;1;519598000000.0;519598190569
trace1;31;0;1;519598000000.0;519598190881
trace1;32;0;1;550055000000.0;550055277211
trace1;32;0;1;550055000000.0;550055276721
trace1;33;0;1;560847000000.0;560846986824
trace1;33;0;1;560847000000.0;560846986309
trace1;32;0;1;550055000000.0;550055276719
trace1;33;0;1;560847000000.0;560846986329
trace1;32;0;1;550055000000.0;550055276986
trace1;33;0;1;560847000000.0;560846986595
trace1;34;0;1;592848000000.0;592848167979
trace1;34;0;1;592848000000.0;592848167531
trace1;35;0;1;607252000000.0;607252496866
trace1;34;0;1;592848000000.0;592848167396
trace1;34;0;1;592848000000.0;592848167735
trace1;35;0;1;607252000000.0;607252496252
trace1;35;0;1;607252000000.0;607252496599
trace1;36;0;1;617564000000.0;617564478848
trace1;36;0;1;617564000000.0;617564478590
trace1;36;0;1;617564000000.0;617564478269
trace1;37;0;1;648948000000.0;648947772024
trace1;37;0;1;648948000000.0;648947771456
trace1;38;0;1;653656000000.0;653655968059
