trace1;  I a;  I s;  I t;  I n;  I b
trace1; 5000;   15;   30;  100;   30
trace1; 5000;   16;   32;  112;   35
trace1; 5000;   17;   34;  124;   42
trace1; 5000;   18;   36;  136;   48
trace1; 5000;   19;   38;  148;   56
trace1; 5000;   20;   40;  160;   64
trace1; 5000;   21;   42;  172;   72
trace1; 5000;   22;   44;  184;   80
trace1; 5000;   23;   46;  196;   90
trace1; 5000;   24;   48;  208;   99
trace1; 5000;   25;   50;  220;  110
trace1; 5000;   26;   52;  232;  120
trace1; 5000;   27;   54;  244;  131
trace1; 5000;   28;   56;  256;  143
trace1; 5000;   29;   58;  268;  155
trace1; 5000;   30;   60;  280;  168
trace1; 5000;   31;   62;  292;  181
trace1; 5000;   32;   64;  304;  194
trace1; 5000;   33;   66;  316;  208
trace1; 5000;   34;   68;  328;  223
trace1; 5000;   35;   70;  340;  238
trace1; 5000;   36;   72;  352;  253
trace1; 5000;   37;   74;  364;  269
trace1; 5000;   38;   76;  376;  285
trace1; 5000;   39;   78;  388;  302
trace1; 5000;   40;   80;  400;  320
trace1; 9375;   15;   30;  100;   24
trace1; 9375;   16;   32;  112;   28
trace1; 9375;   17;   34;  124;   33
trace1; 9375;   18;   36;  136;   39
trace1; 9375;   19;   38;  148;   44
trace1; 9375;   20;   40;  160;   51
trace1; 9375;   21;   42;  172;   57
trace1; 9375;   22;   44;  184;   64
trace1; 9375;   23;   46;  196;   72
trace1; 9375;   24;   48;  208;   79
trace1; 9375;   25;   50;  220;   88
trace1; 9375;   26;   52;  232;   96
trace1; 9375;   27;   54;  244;  105
trace1; 9375;   28;   56;  256;  114
trace1; 9375;   29;   58;  268;  124
trace1; 9375;   30;   60;  280;  134
trace1; 9375;   31;   62;  292;  144
trace1; 9375;   32;   64;  304;  155
trace1; 9375;   33;   66;  316;  166
trace1; 9375;   34;   68;  328;  178
trace1; 9375;   35;   70;  340;  190
trace1; 9375;   36;   72;  352;  202
trace1; 9375;   37;   74;  364;  215
trace1; 9375;   38;   76;  376;  228
trace1; 9375;   39;   78;  388;  242
trace1; 9375;   40;   80;  400;  256
trace1;15000;   15;   30;  100;   20
trace1;15000;   16;   32;  112;   23
trace1;15000;   17;   34;  124;   28
trace1;15000;   18;   36;  136;   32
trace1;15000;   19;   38;  148;   37
trace1;15000;   20;   40;  160;   42
trace1;15000;   21;   42;  172;   48
trace1;15000;   22;   44;  184;   53
trace1;15000;   23;   46;  196;   60
trace1;15000;   24;   48;  208;   66
trace1;15000;   25;   50;  220;   73
trace1;15000;   26;   52;  232;   80
trace1;15000;   27;   54;  244;   87
trace1;15000;   28;   56;  256;   95
trace1;15000;   29;   58;  268;  103
trace1;15000;   30;   60;  280;  112
trace1;15000;   31;   62;  292;  120
trace1;15000;   32;   64;  304;  129
trace1;15000;   33;   66;  316;  139
trace1;15000;   34;   68;  328;  148
trace1;15000;   35;   70;  340;  158
trace1;15000;   36;   72;  352;  168
trace1;15000;   37;   74;  364;  179
trace1;15000;   38;   76;  376;  190
trace1;15000;   39;   78;  388;  201
trace1;15000;   40;   80;  400;  213
trace1;21875;   15;   30;  100;   17
trace1;21875;   16;   32;  112;   20
trace1;21875;   17;   34;  124;   24
trace1;21875;   18;   36;  136;   27
trace1;21875;   19;   38;  148;   32
trace1;21875;   20;   40;  160;   36
trace1;21875;   21;   42;  172;   41
trace1;21875;   22;   44;  184;   46
trace1;21875;   23;   46;  196;   51
trace1;21875;   24;   48;  208;   57
trace1;21875;   25;   50;  220;   62
trace1;21875;   26;   52;  232;   68
trace1;21875;   27;   54;  244;   75
trace1;21875;   28;   56;  256;   81
trace1;21875;   29;   58;  268;   88
trace1;21875;   30;   60;  280;   96
trace1;21875;   31;   62;  292;  103
trace1;21875;   32;   64;  304;  111
trace1;21875;   33;   66;  316;  119
trace1;21875;   34;   68;  328;  127
trace1;21875;   35;   70;  340;  136
trace1;21875;   36;   72;  352;  144
trace1;21875;   37;   74;  364;  153
trace1;21875;   38;   76;  376;  163
trace1;21875;   39;   78;  388;  172
trace1;21875;   40;   80;  400;  182
trace1;30000;   15;   30;  100;   15
trace1;30000;   16;   32;  112;   17
trace1;30000;   17;   34;  124;   21
trace1;30000;   18;   36;  136;   24
trace1;30000;   19;   38;  148;   28
trace1;30000;   20;   40;  160;   32
trace1;30000;   21;   42;  172;   36
trace1;30000;   22;   44;  184;   40
trace1;30000;   23;   46;  196;   45
trace1;30000;   24;   48;  208;   49
trace1;30000;   25;   50;  220;   55
trace1;30000;   26;   52;  232;   60
trace1;30000;   27;   54;  244;   65
trace1;30000;   28;   56;  256;   71
trace1;30000;   29;   58;  268;   77
trace1;30000;   30;   60;  280;   84
trace1;30000;   31;   62;  292;   90
trace1;30000;   32;   64;  304;   97
trace1;30000;   33;   66;  316;  104
trace1;30000;   34;   68;  328;  111
trace1;30000;   35;   70;  340;  119
trace1;30000;   36;   72;  352;  126
trace1;30000;   37;   74;  364;  134
trace1;30000;   38;   76;  376;  142
trace1;30000;   39;   78;  388;  151
trace1;30000;   40;   80;  400;  160
trace1;39375;   15;   30;  100;   13
trace1;39375;   16;   32;  112;   15
trace1;39375;   17;   34;  124;   18
trace1;39375;   18;   36;  136;   21
trace1;39375;   19;   38;  148;   24
trace1;39375;   20;   40;  160;   28
trace1;39375;   21;   42;  172;   32
trace1;39375;   22;   44;  184;   35
trace1;39375;   23;   46;  196;   40
trace1;39375;   24;   48;  208;   44
trace1;39375;   25;   50;  220;   48
trace1;39375;   26;   52;  232;   53
trace1;39375;   27;   54;  244;   58
trace1;39375;   28;   56;  256;   63
trace1;39375;   29;   58;  268;   69
trace1;39375;   30;   60;  280;   74
trace1;39375;   31;   62;  292;   80
trace1;39375;   32;   64;  304;   86
trace1;39375;   33;   66;  316;   92
trace1;39375;   34;   68;  328;   99
trace1;39375;   35;   70;  340;  105
trace1;39375;   36;   72;  352;  112
trace1;39375;   37;   74;  364;  119
trace1;39375;   38;   76;  376;  127
trace1;39375;   39;   78;  388;  134
trace1;39375;   40;   80;  400;  142
trace1;50000;   15;   30;  100;   12
trace1;50000;   16;   32;  112;   12
trace1;50000;   17;   34;  124;   16
trace1;50000;   18;   36;  136;   19
trace1;50000;   19;   38;  148;   22
trace1;50000;   20;   40;  160;   25
trace1;50000;   21;   42;  172;   28
trace1;50000;   22;   44;  184;   32
trace1;50000;   23;   46;  196;   36
trace1;50000;   24;   48;  208;   39
trace1;50000;   25;   50;  220;   44
trace1;50000;   26;   52;  232;   48
trace1;50000;   27;   54;  244;   52
trace1;50000;   28;   56;  256;   57
trace1;50000;   29;   58;  268;   62
trace1;50000;   30;   60;  280;   67
trace1;50000;   31;   62;  292;   72
trace1;50000;   32;   64;  304;   77
trace1;50000;   33;   66;  316;   83
trace1;50000;   34;   68;  328;   89
trace1;50000;   35;   70;  340;   95
trace1;50000;   36;   72;  352;  101
trace1;50000;   37;   74;  364;  107
trace1;50000;   38;   76;  376;  114
trace1;50000;   39;   78;  388;  121
trace1;50000;   40;   80;  400;  128
